"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","samples","LMG1401_004_QE003116","LMG1401_008_QE003117","LMG1401_009_QE003118","LMG1401_010_QE003119","PAL1314_Stn_E_3m_2Jan14_0.2um_QE003120","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto","rm.flag_manual"
"2812",1189,"PG 32:1","C38H73O10P1",738.52796122,738.528561520103,-0.812833277750312,834.88489607105,738.528435740842,738.528599912264,834.53902383082,836.30344762867,5,2385.95881204375,217.922314762221,261.073733562672,260.115762255576,267.915931882264,11925,48,28719,720.49413563,"IP_DAG","PG","[M+NH4]+",32,1,0,0,0,0,1,1,1,0,0,0,0,0,"C2b; C3c; C3f","","1189, 1210, 1211","1189, 1209, 1210, 1211, 1212",7,11,1,0,NA
"3214",1190,"MGDG 32:2","C41H74O10",744.56202475,744.562559281796,-0.717914395170496,834.88489607105,744.562528598327,744.562567176629,834.53902383082,835.586073492594,3,1.28548993853632,13.1463108198508,9.80548697587009,8.80727935001125,0.128990437740538,12155,48,52630,726.52819916,"IP_DAG","MGDG","[M+NH4]+",32,2,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","1190, 1471, 2421","1190, 1191, 1213, 1214","",NA,0,1,NA,0
"263",1192,"DGTS_DGTA 34:5","C44H75N1O7",730.56163081,730.562176510212,-0.746959857520806,834.621157843869,730.562164257683,730.562226033198,833.314690236832,834.88489607105,4,NA,8.72950572099248,16.3071292715207,12.8503192776404,6.43734090265329,11600,48,15676,729.55435435,"IP_DAG","DGTS_DGTA","[M+H]+",34,5,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","1192, 2695","1192, 1208","",0,5,1,NA,0
"557",1193,"PE 44:12","C49H74N1O8P1",836.5224819,836.522767875099,-0.341861821329803,833.984880087051,836.522604589974,836.522995050743,832.553658743843,834.703291856917,5,43.5831027076452,6.69034930625662,6.32984688471382,4.15560322594055,16.5914017593696,15739,48,24982,835.51520544,"IP_DAG","PE","[M+H]+",44,12,0,0,0,1,0,0,0,0,0,0,0,0,"C2a","","","",NA,0,1,NA,0
"1395",1200,"PE 36:6","C41H70N1O8P1",736.49118174,736.491986982202,-1.09334941385339,834.008991046875,736.491882215979,736.492061269257,832.27738799258,838.594015890475,4,25.7138224977118,13.8204108462451,14.4322544496554,9.61969948249023,15.2192310681188,11829,48,22782,735.48390528,"IP_DAG","PE","[M+H]+",36,6,0,0,0,0,1,0,1,0,0,0,0,0,"C2b; C3f","","1200, 1201","",NA,0,1,NA,0
"179",1202,"MGDG 34:5","C43H72O10",766.54637467,766.547471888694,-1.43137940569479,832.116470120378,766.546820326538,766.547676124939,827.711203777577,833.314690236832,4,25.4355034400154,6.48284366526029,3.9356914461124,5.22403019829873,9.55758370729329,13002,48,53155,748.51254908,"IP_DAG","MGDG","[M+NH4]+",34,5,0,0,0,0,1,0,1,1,0,0,0,0,"C2b; C3f; C3r","1202, 2186, 3283","1202, 1203, 1252, 1253","",0,1,1,NA,0
"435",1218,"PE 40:9","C45H72N1O8P1",786.50683182,786.506344635107,0.619428685993244,836.188678441243,786.506161275923,786.506850273284,834.703291856917,837.22173734924,4,3.4224523656586,1.52162695294562,1.53456658187364,1.31711791127545,0.603245498155406,13748,48,23857,785.49955536,"IP_DAG","PE","[M+H]+",40,9,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","1218, 3309","","",NA,0,1,NA,0
"11417",1224,"PE 29:1","C34H66N1O8P1",648.45988158,648.459608982792,0.420376365176774,833.314690236832,648.458838506368,648.459886444426,832.409310964891,834.53902383082,5,7.26861171434889,2.80827930781105,3.48983571019637,2.72656943108705,3.26429001351677,8677,48,21132,647.45260512,"IP_DAG","PE","[M+H]+",29,1,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","1224, 1225, 1226","",NA,0,1,NA,0
"13711",1231,"PC 32:3","C40H74N1O8P1",728.5224819,728.522914871442,-0.594314455326762,834.428553186257,728.522850646956,728.52305010105,828.759718044308,836.975272689867,4,9.63231612016713,3.89269779671673,7.93515567604676,4.04898964016201,1.24411141740781,11521,48,36302,727.51520544,"IP_DAG","PC","[M+H]+",32,3,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","1231, 3628","1230, 1231","",1,1,0,0,NA
"1491",1234,"PC 34:5","C42H74N1O8P1",752.5224819,752.52293295329,-0.599388457526698,835.573837317159,752.522895614744,752.522970291835,832.553658743843,838.594015890475,2,43.6985772930526,14.4808437822856,21.7293158446207,14.2872158496679,21.2287794622505,12458,48,36802,751.51520544,"IP_DAG","PC","[M+H]+",34,5,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","1234, 2399","1233, 1234","",2,2,0,0,NA
