"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","cultures","QC","Marchetti_diatom_culture_extract_A_act_1_QE002909","Marchetti_diatom_culture_extract_A_act_2_QE002910","Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911","Marchetti_diatom_culture_extract_F_cyl_1_QE002907","Marchetti_diatom_culture_extract_F_cyl_1_QE002908","Marchetti_diatom_culture_extract_Thalass_1_QE002905","Marchetti_diatom_culture_extract_Thalass_2_QE002906","QC_QE002903","QC_QE002915","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto","rm.flag_manual"
"11076",3480,"SQDG 31:3","C40H70O12S1",792.49262452,792.492585425467,0.0493310995507901,684.743272780491,792.492552565482,792.492618285453,683.941085310029,685.545460250953,2,0,0.720533743484967,0.495216941506045,0,2.37545078546242,6.48742510121555,0.107664044598949,0,46739.8783295148,27031.5955919076,12042,2983,44889,774.45879893,"IP_DAG","SQDG","[M+NH4]+",31,3,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","1043, 3480","","",NA,0,1,NA,0
"11080",3486,"DGTS_DGTA 28:0","C38H73N1O7",656.54598073,656.546492315688,-0.779207706809036,1018.39503465342,656.546332191424,656.546550944028,1018.37857144164,1020.10369683219,3,0,0.0212434910694696,0.0210564071334695,0.106330610984751,0.0232190504806061,0,2.5706315334612,2.01982124121418,67330.7933401477,41724.539207313,7043,3026,14301,655.53870427,"IP_DAG","DGTS_DGTA","[M+H]+",28,0,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3486, 3487","",NA,0,0,NA,0
"11083",3491,"DGTS_DGTA 29:1","C39H73N1O7",668.54598073,668.546552539632,-0.855303372164009,1018.37857144164,668.546272451383,668.546615589697,1017.88980514027,1018.39503465342,3,0,0.00396365001873691,0.00171961208372207,0.0651144795188454,0,0,0.743934510722163,0.695036602819726,0,0,7403,3062,14526,667.53870427,"IP_DAG","DGTS_DGTA","[M+H]+",29,1,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3491, 3552, 5980","3491, 3492","",NA,0,0,NA,0
"8668",3495,"PC 30:0","C38H76N1O8P1",706.53813198,706.53897926732,-1.19920961321127,1016.13025959154,706.538923810377,706.539034724263,1016.10403112944,1016.15648805365,2,0,0,0.00283212179782597,0,0,0,1.06983003499623,0.775304951348249,24719.9315475264,33784.6260629208,8668,3073,35827,705.53085552,"IP_DAG","PC","[M+H]+",30,0,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","2155, 3495","3494, 3495","",NA,0,0,0,NA
"11087",3498,"DGTS_DGTA 36:4","C46H81N1O7",760.60858105,760.60912120375,-0.710159947623178,1018.40673315195,760.608945593538,760.609296813962,1016.15648805365,1020.65697825025,2,0,0,0,0.00683944103774154,0,0,0.234054236233797,0.0862571500217509,0,0,10690,3080,16126,759.60130459,"IP_DAG","DGTS_DGTA","[M+H]+",36,4,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3498, 5188","3498, 3499","",NA,0,0,NA,0
"11098",3520,"DGDG 31:0","C46H86O15",896.63049833,896.62982310664,0.753067580734456,1018.38680304753,896.62952958924,896.630116624039,1018.37857144164,1018.39503465342,2,0,0,0,0,0,0,28.1817956942809,24.903860822179,0,0,17470,3124,8302,878.59667274,"IP_DAG","DGDG","[M+NH4]+",31,0,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,0,NA,0
"11131",3530,"PE 32:4","C37H66N1O8P1",684.45988158,684.459881271899,0.00045013723698273,811.5940827455,684.459858925113,684.459903618685,810.999850209592,812.188315281409,2,0,0,0.00971911597667705,0.223211052094065,0.0102866371538673,0.00970299973177034,8.57909986999988,6.03605458176509,0,0,7897,3221,21807,683.45260512,"IP_DAG","PE","[M+H]+",32,4,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3530, 3640","3530, 3531","",NA,0,1,NA,0
"10848",3537,"PG 34:2","C40H75O10P1",764.5436113,764.543858042694,-0.322732007152286,808.823562947857,764.543820047403,764.543864398099,808.77068313724,809.930772239754,3,0,0,0,10.8982564316373,0,0,13.0379303527273,10.0333000988811,0,0,10848,3242,29289,746.50978571,"IP_DAG","PG","[M+NH4]+",34,2,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","1688, 3537","3536, 3537, 3538","",2,2,1,0,NA
"11890",3540,"PC 36:1","C44H86N1O8P1",788.61638238,788.615299382293,1.37328837135868,814.703990137188,788.615192147247,788.615406617338,811.949476340098,817.458503934277,2,0,0,0,0,0.138989820783679,0.816887334007586,0,0,0,0,11890,3249,37177,787.60910592,"IP_DAG","PC","[M+H]+",36,1,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3540, 3588","3539, 3540","",NA,0,0,0,NA
"16720",3568,"SQDG 38:7","C47H76O12S1",882.53957476,882.540676371399,-1.24822889540442,892.396796626246,882.535846889565,882.545352748447,890.916117583037,893.690065224218,4,0,0,0,0,1.23594868296379,1.7854839448376,2.29246639362034,1.05451678286484,0,0,16720,3361,46959,864.50574917,"IP_DAG","SQDG","[M+NH4]+",38,7,0,1,0,0,0,1,0,1,0,0,0,0,"C1; C3c; C3r","641, 3568","","3567, 3568",NA,0,0,NA,0
"11162",3587,"PE 39:1","C44H86N1O8P1",788.61638238,788.615461125473,1.16819095834327,1062.98791657131,788.614651226638,788.616919391841,1062.84723816647,1069.72510442205,3,0,0.471626218835945,0.361263388978508,0,0.00548445844161733,0.064953917387652,0.499831325318515,0.651006812246841,0,0,11889,3452,23432,787.60910592,"IP_DAG","PE","[M+H]+",39,1,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3539, 3587","3587, 3588","",NA,0,0,0,NA
"153261",3598,"MGDG 40:2","C49H90O10",856.68722539,856.687944425538,-0.839320952287697,1065.16649405142,856.687692413338,856.688196437737,1065.05715080794,1065.2758372949,2,0,0.0183149696561994,0,0,0,0.0175857648639377,2.86462447266106,2.31128989716115,0,0,15326,3461,54555,838.6533998,"IP_DAG","MGDG","[M+NH4]+",40,2,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3598, 5718","3596, 3597, 3598, 3599","",NA,0,0,NA,0
"11185",3631,"PG 29:0","C35H69O10P1",698.49666106,698.496643703099,0.0248489384969868,790.508088167796,698.496109650433,698.497056996655,788.31886129601,792.833881282225,4,0,0,0,0.161247099210903,0.313061217310065,1.30352093873661,6.11699815283904,4.36521267435622,0,0,8383,3573,27969,680.46283547,"IP_DAG","PG","[M+NH4]+",29,0,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,1,NA,0
"2304",3634,"PC 25:1","C33H64N1O8P1",634.4442315,634.444221289353,0.0160938450161247,785.495051069155,634.444199416255,634.444243162451,784.933417091988,786.056685046322,2,0,0,0,0.299606171263861,0,0,14.6766696349339,9.81990636324985,0,0,6403,3592,34977,633.43695504,"IP_DAG","PC","[M+H]+",25,1,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3633, 3634, 3635","",NA,0,0,NA,0
"3183",3678,"MGDG 25:3","C34H58O10",644.43682411,644.436079741038,1.1550689438744,796.903625473587,644.435886647032,644.436272835044,796.352939530152,797.454311417022,2,0,0,0,0,0,0,0.421061417405402,0.353575380849634,0,0,6683,3765,51380,626.40299852,"IP_DAG","MGDG","[M+NH4]+",25,3,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3676, 3677, 3678","",NA,0,0,NA,0
"11242",3698,"PE 37:0","C42H84N1O8P1",762.6007323,762.598841608078,2.47926843265729,801.192321331626,762.598731321612,762.598951894543,800.60038073566,801.784261927592,2,0,0,0,0,0.124370412168762,0.607091614724198,0,0,0,0,10770,3815,22907,761.59345584,"IP_DAG","PE","[M+H]+",37,0,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3698, 3699","",NA,0,0,NA,0
"2335",3699,"PC 34:0","C42H84N1O8P1",762.6007323,762.598841608078,2.47926843265729,801.192321331626,762.598731321612,762.598951894543,800.60038073566,801.784261927592,2,0,0,0,0,0.089549481494688,0.437119555771477,0,0,0,0,10770,3815,36677,761.59345584,"IP_DAG","PC","[M+H]+",34,0,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3698, 3699","",NA,0,0,NA,0
"2343",3738,"PC 33:5","C41H72N1O8P1",738.50683182,738.505721729302,1.50315562457133,436.732762976103,738.505656281547,738.505787177057,436.449647874873,437.015878077333,2,0,0.0911998150865897,0.156511143332162,0,0,0.00425290388657194,0,0,0,15207.662297666,9840,4039,36577,737.49955536,"IP_DAG","PC","[M+H]+",33,5,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","830, 3738","3737, 3738","",NA,0,0,NA,0
"11280",3753,"DGTS_DGTA 46:2","C56H105N1O7",904.79638201,904.797669582261,-1.42305195583174,1125.03274343591,904.797661590398,904.797677574124,1124.87884304085,1125.18664383097,2,0,0.019624303200368,0.00499996289579727,0.0388940040039921,0,0,0.277677414246252,0.185311987804947,0,0,17907,4194,18676,903.78910555,"IP_DAG","DGTS_DGTA","[M+H]+",46,2,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3753, 3754","",NA,0,0,NA,0
"11292",3780,"DGTS_DGTA 29:4","C39H67N1O7",662.49903049,662.49907926825,-0.073627655524741,838.54900595326,662.499067875619,662.499090660882,837.795285804129,839.30272610239,2,0,0,0,0,0.279555841124561,0.762752707704185,0.0506754015225832,0.0320506281040867,0,0,7237,4271,14601,661.49175403,"IP_DAG","DGTS_DGTA","[M+H]+",29,4,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","385, 627, 3780","3780, 3781","",NA,0,0,NA,0
"11300",3798,"DGTS_DGTA 36:6","C46H77N1O7",756.57728089,756.577084331619,0.259799475744115,839.689744107794,756.577071635637,756.577097027601,839.30272610239,840.076762113197,2,0,0,0,0,1.20513585511846,8.29076749398785,0.00484604176438656,0,0,0,10531,4304,16176,755.57000443,"IP_DAG","DGTS_DGTA","[M+H]+",36,6,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3798, 3799","",1,1,1,NA,0
"11304",3808,"PE 41:2","C46H88N1O8P1",814.63203246,814.630224125523,2.2198175438778,840.848716088391,814.630012885266,814.630435365779,840.076762113197,841.620670063585,2,0,0,0,0,0.288697925244742,2.87012244336591,0,0,0,0,13115,4318,23982,813.624756,"IP_DAG","PE","[M+H]+",41,2,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","2078, 3808","3808, 3809","",NA,0,0,NA,0
"11309",3819,"SQDG 36:3","C45H80O12S1",862.57087492,862.570731384705,0.16640405943554,845.240151500716,862.570664336194,862.570798433216,844.870447778786,845.609855222647,0,2,0,0,0,0.045863402173207,0.191453910917977,0,0,3535809.79366067,3784282.30252734,15652,4333,46239,844.53704933,"IP_DAG","SQDG","[M+NH4]+",36,3,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,1,NA,0
"11320",3826,"DGTS_DGTA 40:4","C50H89N1O7",816.67118137,816.670514104054,0.817055825663947,1088.31718579955,816.669798353345,816.671829699812,1086.18078019129,1091.86308434538,3,0,0.00823832937993607,0.00346078896585453,0,0.026984482750284,0.0960399119061569,0.0385653059081581,0.570226631402465,0,0,13210,4391,17126,815.66390491,"IP_DAG","DGTS_DGTA","[M+H]+",40,4,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3826, 3827","",NA,0,0,NA,0
"2440",3990,"PG 36:6","C42H71O10P1",784.51231114,784.510991330426,1.68233124619606,1105.71237157699,784.510790838186,784.511191822665,1104.13965926661,1107.28508388737,2,0,0.516236071678722,0.323886233390772,0,0.0957112053169443,0,0,0,73476.4424273962,0,11699,5035,29979,766.47848555,"IP_DAG","PG","[M+NH4]+",36,6,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","366, 546, 2203, 3990","3989, 3990, 3991","",NA,0,0,NA,0
"11425",3999,"PE 36:2","C41H78N1O8P1",744.55378206,744.552793938662,1.32713225229652,896.872522930268,744.552493239242,744.553094638083,895.961839385879,897.783206474658,2,0,0,0,0,0,0,0.198026091920346,0.151635335918507,28290.4471141606,19934.6917632251,10056,5083,22682,743.5465056,"IP_DAG","PE","[M+H]+",36,2,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3496, 3999","3999, 4000","",NA,0,0,NA,0
"11426",4001,"SQDG 28:2","C37H66O12S1",752.46132436,752.462300445749,-1.29719058932264,895.723701567108,752.462283112564,752.462317778934,895.485563748338,895.961839385879,2,0,0,0,0,0.0416950647421255,0,1.00342337669063,0.591561613469583,0,0,10346,5084,44139,734.42749877,"IP_DAG","SQDG","[M+NH4]+",28,2,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","3017, 4001, 4705","","",NA,0,0,0,NA
"11428",4003,"DGDG 22:0","C37H68O15",770.48964761,770.489386973677,0.338273620494412,900.558798707338,770.488977293176,770.489399543276,900.442599449105,901.88843845601,1,2,0,0,0,0,0,3.19634515211399,1.6713727817178,296650.268125,399682.990062499,11084,5087,6852,752.45582202,"IP_DAG","DGDG","[M+NH4]+",22,0,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,0,0,NA
"11432",4008,"DGDG 28:7","C43H66O15",840.47399753,840.473108150473,1.05818803410906,895.723701567108,840.472867798359,840.473348502587,895.485563748338,895.961839385879,2,0,0,0,0,0,0,8.24902652716966,6.32763048631722,0,0,14415,5093,7877,822.44017194,"IP_DAG","DGDG","[M+NH4]+",28,7,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,0,NA,0
"2452",4031,"PC 26:6","C34H56N1O8P1",638.38163118,638.38198535419,-0.554800095711289,662.379505402116,638.381743106819,638.382227601561,661.468532615072,663.290478189159,2,0,0,0,0,0,0,0.0962880738111379,0.0608237460204644,0,0,6493,5146,35227,637.37435472,"IP_DAG","PC","[M+H]+",26,6,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","4030, 4031","",NA,0,0,NA,0
"3249",4042,"MGDG 29:2","C38H68O10",702.51507451,702.515045359179,0.0414949398365416,663.290478189159,702.494538060251,702.515290480231,656.727259291851,663.707297311976,3,0,0,0.0119021348585432,0.164911388578102,0,0,1.98430920435155,1.41906135237991,0,0,8519,5162,52030,684.48124892,"IP_DAG","MGDG","[M+NH4]+",29,2,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","4040, 4041, 4042","",NA,0,1,NA,0
