"UNC_Marchetti_diatom_cultures_IP-DAG_pmol_total_man_ann.csv, exported from first sheet of UNC_Marchetti_diatom_cultures_IP-DAG_pmol_totals.xlsx after manual curation was performed on the Marchetti diatom culture data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results are in rm.flag_manual and complement the automatic removal flag annotations in rm.flag_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated for re-importation back into R at approx. line 1482 in PAL1314_PAL1516_environmental_samples.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ms2_conf,ms2_present,neg_mode.conf,rm.flag_auto,rm.flag_manual,match_ID,compound_name,elem_formula,LOBdbase_mz,peakgroup_mz,LOBdbase_ppm_match,peakgroup_rt,peakgroup_mzmin,peakgroup_mzmax,peakgroup_rtmin,peakgroup_rtmax,cultures,QC,Marchetti_diatom_culture_extract_A_act_1_QE002909,Marchetti_diatom_culture_extract_A_act_2_QE002910,Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911,Marchetti_diatom_culture_extract_F_cyl_1_QE002907,Marchetti_diatom_culture_extract_F_cyl_1_QE002908,Marchetti_diatom_culture_extract_Thalass_1_QE002905,Marchetti_diatom_culture_extract_Thalass_2_QE002906,QC_QE002903,QC_QE002915,xcms_peakgroup,CAMERA_pseudospectrum,LOBdbase_frag_ID,LOBdbase_exact_parent_neutral_mass,lipid_class,species,major_adduct,FA_total_no_C,FA_total_no_DB,degree_oxidation,C1,C1x,C2a,C2b,C3c,C3f,C3r,C4,C5,C6a,C6b,casecodes,iso_C3r.match_ID,iso_C3f.match_ID,iso_C3c.match_ID
12315,NA,0,0,1,,5323,DGTS_DGTA 25:3,C35H61N1O7,608.4520803,608.4520232,0.09383209,675.9080488,608.4519205,608.4521258,675.0093496,676.806748,2,0,0.014963158,0.006456485,0.009124366,0,0.001934026,0.070735428,0.061028128,0,0,5699,10745,13901,607.4448038,IP_DAG,DGTS_DGTA,[M+H]+,25,3,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
11009,NA,0,0,1,,3382,DGTS_DGTA 25:2,C35H63N1O7,610.4677303,610.4677361,-0.009460426,721.5910609,610.455295,610.4681831,718.8238054,735.280177,6,0,0.08397461,0.072886022,0.006212648,0.039451562,0.199091347,0.162859997,0.015729538,0,0,5752,2549,13876,609.4604539,IP_DAG,DGTS_DGTA,[M+H]+,25,2,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
519,NA,0,0,1,,554,DGTS_DGTA 25:1,C35H65N1O7,612.4833804,612.4834197,-0.064197689,732.9679853,612.4834109,612.4836641,732.4185111,734.2564825,3,0,0.132158894,0.098718477,0.022913475,0,0.009727905,0.112917434,0.073671694,0,0,5809,21,13851,611.476104,IP_DAG,DGTS_DGTA,[M+H]+,25,1,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
5425,NA,0,0,1,,2430,DGTS_DGTA 25:0,C35H67N1O7,614.4990305,614.4989675,0.102511533,775.8492373,614.498563,614.4990559,775.0021357,777.2443323,7,0,1.275400998,1.155718064,0.13161851,0.221851561,0.763117726,0.632324612,0.497402616,0,0,5870,83,13826,613.491754,IP_DAG,DGTS_DGTA,[M+H]+,25,0,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
12349,NA,0,1,1,,5388,PE 27:3,C32H58N1O8P1,616.3972813,616.3975161,-0.380944319,655.5517648,616.3974566,616.3975755,654.6528388,656.4506908,2,0,0,0,0,0,0,0.610742985,0.362885984,0,0,5913,10983,20807,615.3900048,IP_DAG,PE,[M+H]+,27,3,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"5388, 5389",
5913,NA,0,0,1,,5389,PC 24:3,C32H58N1O8P1,616.3972813,616.3975161,-0.380944319,655.5517648,616.3974566,616.3975755,654.6528388,656.4506908,2,0,0,0,0,0,0,0.439748624,0.261286033,0,0,5913,10983,34902,615.3900048,IP_DAG,PC,[M+H]+,24,3,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"5388, 5389",
11026,NA,0,0,1,,3383,PE 27:2,C32H60N1O8P1,618.4129313,618.4125972,0.540250504,715.4975013,618.4124597,618.4127348,715.132841,715.8621617,2,0,0,0,0,0,0,0.436600863,0.219974507,0,0,5970,2552,20782,617.4056549,IP_DAG,PE,[M+H]+,27,2,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"3383, 3466","3383, 3384",
2278,NA,0,0,1,,3384,PC 24:2,C32H60N1O8P1,618.4129313,618.4125972,0.540250504,715.4975013,618.4124597,618.4127348,715.132841,715.8621617,2,0,0,0,0,0,0,0.314362397,0.15838657,0,0,5970,2552,34877,617.4056549,IP_DAG,PC,[M+H]+,24,2,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"3384, 3467","3383, 3384",
11070,NA,0,0,1,,3466,PE 27:2,C32H60N1O8P1,618.4129313,618.4122838,1.047025773,688.4511045,618.4121804,618.4123873,688.2052526,688.6969564,2,0,0,0,0,0,0,0.336695662,0.182538095,0,0,5969,2951,20782,617.4056549,IP_DAG,PE,[M+H]+,27,2,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"3383, 3466","3466, 3467",
2294,NA,0,0,1,,3467,PC 24:2,C32H60N1O8P1,618.4129313,618.4122838,1.047025773,688.4511045,618.4121804,618.4123873,688.2052526,688.6969564,2,0,0,0,0,0,0,0.242428415,0.131431515,0,0,5969,2951,34877,617.4056549,IP_DAG,PC,[M+H]+,24,2,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"3384, 3467","3466, 3467",
