Batch,scan003_Quartz_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Quartz_%T_190_to_800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:32:03PM
Entries,Data Points
nm,%T
294.00,94.2376
294.20,94.3724
294.40,94.2091
294.60,94.3059
294.80,94.6656
295.00,94.6033
295.20,94.4709
295.40,94.3904
295.60,94.3072
295.80,94.4257
296.00,94.3204
296.20,93.7137
296.40,94.2866
296.60,94.2969
296.80,93.7548
297.00,94.1956
297.20,94.4029
297.40,94.1970
297.60,94.3645
297.80,94.3740
298.00,94.2418
298.20,94.5405
298.40,94.3973
298.60,94.1429
298.80,94.3070
299.00,94.1310
299.20,94.3593
299.40,94.4458
299.60,94.2609
299.80,94.3414
300.00,94.3884
300.20,94.1802
300.40,94.1648
300.60,94.3851
300.80,94.6375
301.00,94.4968
301.20,94.3855
301.40,94.5615
301.60,94.3836
301.80,94.2637
302.00,94.1902
302.20,94.3429
302.40,94.3459
302.60,94.6625
302.80,94.3371
303.00,94.6218
303.20,94.3812
303.40,93.7825
303.60,94.3487
303.80,94.5286
304.00,94.3957
304.20,94.5421
304.40,94.2741
304.60,94.5511
304.80,94.4682
305.00,94.3286
305.20,94.3607
305.40,94.6301
305.60,94.4187
305.80,94.6202
306.00,94.4956
306.20,94.0422
306.40,94.3662
306.60,94.5907
306.80,94.4436
307.00,94.3298
307.20,94.4530
307.40,94.4210
307.60,94.4946
307.80,94.2764
308.00,94.5802
308.20,94.7423
308.40,94.3268
308.60,94.3382
308.80,94.3580
309.00,94.6035
309.20,94.3855
309.40,94.4960
309.60,94.5823
309.80,94.5502
310.00,94.3448
310.20,94.5603
310.40,94.5512
310.60,94.4543
310.80,94.5413
311.00,94.6232
311.20,94.4582
311.40,94.3618
311.60,94.3887
311.80,94.2899
312.00,94.5496
312.20,94.5577
312.40,94.2896
312.60,94.6103
312.80,94.5860
313.00,94.3209
313.20,94.5826
313.40,94.6217
313.60,94.4265
313.80,94.8191
314.00,94.5319
314.20,94.6887
314.40,94.7391
314.60,94.5520
314.80,94.7340
315.00,94.6317
315.20,94.9188
315.40,94.7036
315.60,94.7337
315.80,94.7211
316.00,94.7807
316.20,94.7782
316.40,94.6436
316.60,94.7395
316.80,94.6810
317.00,94.5462
317.20,94.5021
317.40,94.8180
317.60,94.7241
317.80,94.5358
318.00,94.8858
318.20,94.6989
318.40,94.7323
318.60,94.1647
318.80,94.7663
319.00,94.6488
319.20,94.4141
319.40,94.8465
319.60,94.7637
319.80,94.8317
320.00,94.8335
320.20,94.8475
320.40,94.8239
320.60,94.7133
320.80,94.8140
321.00,94.7697
321.20,94.9023
321.40,94.8419
321.60,94.8256
321.80,94.6227
322.00,94.8498
322.20,94.8964
322.40,94.9292
322.60,94.6997
322.80,94.6714
323.00,94.7876
323.20,94.8365
323.40,94.6842
323.60,95.0521
323.80,94.9874
324.00,95.1254
324.20,94.9526
324.40,94.9533
324.60,95.0041
324.80,94.9296
325.00,95.0812
