Batch,scan004_Borosilicate_EPA_vial_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Borosil_%T_190-800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:49:00PM
Entries,Data Points
nm,%T
279.80,19.0813
280.00,19.5321
280.20,19.9042
280.40,20.3266
280.60,20.7737
280.80,21.2185
281.00,21.6592
281.20,22.1581
281.40,22.5515
281.60,22.9967
281.80,23.4530
282.00,23.9120
282.20,24.3496
282.40,24.8893
282.60,25.3141
282.80,25.7553
283.00,26.1438
283.20,26.5778
283.40,27.0272
283.60,27.4741
283.80,27.9939
284.00,28.5584
284.20,29.0629
284.40,29.5003
284.60,30.0546
284.80,30.3009
285.00,30.8592
285.20,31.3729
285.40,31.7727
285.60,32.2493
285.80,32.7456
286.00,33.3079
286.20,33.8890
286.40,34.3633
286.60,34.7700
286.80,35.3883
287.00,35.7412
287.20,36.2600
287.40,36.7467
287.60,37.2428
287.80,37.8292
288.00,38.2798
288.20,38.8400
288.40,39.3459
288.60,39.8996
288.80,40.4442
289.00,40.8620
289.20,41.3972
289.40,41.7632
289.60,42.4965
289.80,42.8897
290.00,43.5146
290.20,44.0696
290.40,44.5915
290.60,45.1070
290.80,45.6221
291.00,46.0838
291.20,46.5424
291.40,46.8752
291.60,47.5269
291.80,47.9963
292.00,48.4359
292.20,48.9323
292.40,49.4421
292.60,49.9204
292.80,50.4733
293.00,50.8302
293.20,51.4219
293.40,51.8977
293.60,52.4857
293.80,52.8562
294.00,53.3304
294.20,53.9802
294.40,54.2839
294.60,54.7576
294.80,55.4017
295.00,55.8713
295.20,56.2198
295.40,56.4776
295.60,56.9926
295.80,57.4963
296.00,57.9036
296.20,57.9180
296.40,58.7371
296.60,59.1880
296.80,59.2800
297.00,60.1491
297.20,60.6231
297.40,60.8942
297.60,61.4331
297.80,61.7608
298.00,62.0225
298.20,62.6446
298.40,62.9821
298.60,63.1250
298.80,63.6199
299.00,63.9768
299.20,64.4709
299.40,64.8652
299.60,65.2147
299.80,65.7102
300.00,66.0282
300.20,66.2978
300.40,66.6040
300.60,67.1361
300.80,67.7218
301.00,67.9254
301.20,68.2567
301.40,68.7200
301.60,68.8818
301.80,69.2156
302.00,69.6102
302.20,69.9001
302.40,70.2733
302.60,70.8641
302.80,70.9271
303.00,71.4677
303.20,71.5685
303.40,71.3666
303.60,72.1810
303.80,72.6661
304.00,72.8900
304.20,73.3427
304.40,73.4213
304.60,73.9452
304.80,74.2049
305.00,74.3567
305.20,74.7445
305.40,75.2292
305.60,75.3491
305.80,75.7473
306.00,75.9667
306.20,75.9127
306.40,76.4621
306.60,76.9139
306.80,76.9935
307.00,77.1311
307.20,77.5111
307.40,77.8306
307.60,78.1057
307.80,78.1621
308.00,78.6694
308.20,79.1165
308.40,79.0686
308.60,79.2283
308.80,79.5291
309.00,79.9922
309.20,79.9563
309.40,80.2651
309.60,80.5939
309.80,80.7725
310.00,80.8555
310.20,81.2379
310.40,81.4119
310.60,81.5408
310.80,81.8474
311.00,82.0792
311.20,82.1147
311.40,82.3064
311.60,82.6210
311.80,82.6614
312.00,83.0823
312.20,83.1734
312.40,83.1928
312.60,83.5002
312.80,83.8290
313.00,83.7761
313.20,84.2602
313.40,84.3287
313.60,84.4574
313.80,84.9708
314.00,84.8896
314.20,85.2078
314.40,85.4225
314.60,85.3586
314.80,85.6285
315.00,85.7911
315.20,86.2392
315.40,86.1326
315.60,86.2821
315.80,86.3839
316.00,86.6652
316.20,86.7621
316.40,86.8065
316.60,86.9722
316.80,87.0847
317.00,87.1879
317.20,87.2428
317.40,87.7171
317.60,87.6097
317.80,87.5834
318.00,88.0303
318.20,88.0546
318.40,88.1551
318.60,87.7895
318.80,88.4851
319.00,88.5277
319.20,88.3742
319.40,88.9571
319.60,88.9362
319.80,89.1090
320.00,89.1745
320.20,89.3028
320.40,89.3054
320.60,89.5311
320.80,89.5957
321.00,89.7381
321.20,89.9184
321.40,89.9981
321.60,90.0042
321.80,89.9968
322.00,90.0855
322.20,90.4688
322.40,90.5033
322.60,90.4604
322.80,90.4273
323.00,90.6141
323.20,90.8420
323.40,90.8450
323.60,91.2716
323.80,91.2566
324.00,91.3741
324.20,91.4200
324.40,91.5079
324.60,91.5887
324.80,91.6409
325.00,91.7820
325.20,91.9187
325.40,91.9320
325.60,91.7839
325.80,91.6424
326.00,92.0597
326.20,92.0727
326.40,92.1625
326.60,92.0400
326.80,92.2628
327.00,92.1648
327.20,92.3614
327.40,92.3535
327.60,92.4879
327.80,92.6086
328.00,92.7237
328.20,92.5958
328.40,92.8460
328.60,92.7124
328.80,92.7358
329.00,92.9915
329.20,92.9823
