Batch,scan005
EV300,140607
Data Mode,A  None
Sample,"PC_22:0,MeOH,heated"
Cycle,Cycle01
Date Collected,8/10/16
Time Collected,9:30:07PM
Entries,Data Points
nm,A
322.6,0.0206
322.8,0.02
323,0.0201
323.2,0.0202
323.4,0.0197
323.6,0.0193
323.8,0.0193
324,0.0192
324.2,0.0186
324.4,0.0187
324.6,0.0187
324.8,0.0189
325,0.0184
325.2,0.0184
325.4,0.0178
325.6,0.0178
325.8,0.0174
326,0.0174
326.2,0.0176
326.4,0.0174
326.6,0.0174
326.8,0.0173
327,0.0173
327.2,0.0175
327.4,0.0171
327.6,0.0171
327.8,0.0166
328,0.0167
328.2,0.0167
328.4,0.0163
328.6,0.016
328.8,0.0161
329,0.0157
329.2,0.016
329.4,0.0155
329.6,0.0157
329.8,0.0156
330,0.0157
330.2,0.0152
330.4,0.0147
330.6,0.0146
330.8,0.0144
331,0.0135
331.2,0.0137
331.4,0.014
331.6,0.0133
331.8,0.0138
332,0.0132
332.2,0.0131
332.4,0.0131
332.6,0.0137
332.8,0.0127
333,0.0131
333.2,0.0124
333.4,0.012
333.6,0.0121
333.8,0.0118
334,0.0118
334.2,0.0119
334.4,0.0118
334.6,0.0122
334.8,0.012
335,0.012
335.2,0.0123
335.4,0.0118
335.6,0.0116
335.8,0.0117
336,0.0119
336.2,0.0113
336.4,0.0117
336.6,0.0117
336.8,0.0114
337,0.0116
337.2,0.0114
337.4,0.0115
337.6,0.0116
337.8,0.011
338,0.0112
338.2,0.0108
338.4,0.011
338.6,0.0115
338.8,0.0109
339,0.0115
339.2,0.0115
339.4,0.01
339.6,0.0107
339.8,0.0112
340,0.0106
340.2,0.0103
340.4,0.0102
340.6,0.0103
340.8,0.0104
341,0.01
341.2,0.0097
341.4,0.0102
341.6,0.0108
341.8,0.0111
342,0.011
342.2,0.011
342.4,0.0106
342.6,0.0106
342.8,0.0102
343,0.0107
343.2,0.0105
343.4,0.0103
343.6,0.0101
343.8,0.01
344,0.0098
344.2,0.0094
344.4,0.0098
344.6,0.0093
344.8,0.0095
345,0.0095
345.2,0.0101
345.4,0.0098
345.6,0.01
345.8,0.0095
346,0.0092
346.2,0.0095
346.4,0.0095
346.6,0.009
346.8,0.0093
347,0.0086
347.2,0.0096
347.4,0.0084
347.6,0.0091
347.8,0.0088
348,0.0091
348.2,0.0093
348.4,0.0086
348.6,0.0085
348.8,0.0086
349,0.0083
349.2,0.0082
349.4,0.0082
349.6,0.0093
349.8,0.0079
350,0.008
350.2,0.0072
350.4,0.0076
350.6,0.0078
350.8,0.0076
351,0.0073
351.2,0.0072
351.4,0.0074
351.6,0.0066
351.8,0.007
352,0.0071
352.2,0.0075
352.4,0.0072
352.6,0.0068
352.8,0.0076
353,0.0064
353.2,0.006
353.4,0.0063
353.6,0.0067
353.8,0.0062
354,0.0054
354.2,0.0057
354.4,0.0057
354.6,0.0064
354.8,0.0063
355,0.0056
355.2,0.0055
355.4,0.0056
355.6,0.0055
355.8,0.0054
356,0.0055
356.2,0.0061
356.4,0.0058
356.6,0.0057
356.8,0.0056
357,0.0056
357.2,0.0058
357.4,0.0047
357.6,0.0053
357.8,0.0053
358,0.005
358.2,0.0059
358.4,0.0055
358.6,0.0055
358.8,0.0054
359,0.0052
359.2,0.006
359.4,0.006
359.6,0.0054
359.8,0.006
360,0.0056
360.2,0.006
360.4,0.0053
360.6,0.0052
360.8,0.0058
361,0.0053
361.2,0.0053
361.4,0.0056
361.6,0.005
361.8,0.005
362,0.0053
362.2,0.0051
362.4,0.0054
362.6,0.0054
362.8,0.0056
363,0.0061
363.2,0.0057
363.4,0.0054
363.6,0.0057
363.8,0.0057
364,0.0067
364.2,0.006
364.4,0.0065
364.6,0.0063
364.8,0.0065
365,0.0069
365.2,0.0064
365.4,0.0063
365.6,0.0063
365.8,0.0064
366,0.006
366.2,0.0056
366.4,0.0064
366.6,0.0058
366.8,0.0062
367,0.0067
367.2,0.0066
367.4,0.0056
367.6,0.0061
367.8,0.0059
368,0.0061
368.2,0.0061
368.4,0.0061
368.6,0.0059
368.8,0.0053
369,0.0055
369.2,0.005
369.4,0.0061
369.6,0.0057
369.8,0.006
370,0.0065
370.2,0.0054
370.4,0.0068
370.6,0.0064
370.8,0.0061
371,0.0059
371.2,0.006
371.4,0.0069
371.6,0.0063
371.8,0.0062
372,0.0073
372.2,0.0054
372.4,0.0052
372.6,0.0053
372.8,0.0054
373,0.0058
373.2,0.0056
373.4,0.0061
373.6,0.0062
373.8,0.0063
374,0.0052
374.2,0.0057
374.4,0.0054
374.6,0.0045
374.8,0.0052
375,0.0058
375.2,0.0063
375.4,0.0053
375.6,0.0051
375.8,0.005
376,0.0052
376.2,0.0055
376.4,0.0048
376.6,0.0051
376.8,0.0059
377,0.0059
377.2,0.0066
377.4,0.0063
377.6,0.0064
377.8,0.0067
378,0.0062
378.2,0.0063
378.4,0.0067
378.6,0.0065
378.8,0.007
379,0.0063
379.2,0.007
379.4,0.0062
379.6,0.006
379.8,0.0067
380,0.0066
380.2,0.0058
380.4,0.0056
380.6,0.0061
380.8,0.0058
381,0.0054
381.2,0.006
381.4,0.0058
381.6,0.0055
381.8,0.0052
382,0.0063
382.2,0.0046
382.4,0.0053
382.6,0.0053
382.8,0.0047
383,0.0052
383.2,0.0052
383.4,0.005
383.6,0.0048
383.8,0.0049
384,0.0043
384.2,0.0047
384.4,0.0052
384.6,0.004
384.8,0.0052
385,0.004
385.2,0.0051
385.4,0.004
385.6,0.0043
385.8,0.0036
386,0.0034
386.2,0.0035
386.4,0.003
386.6,0.0031
386.8,0.0021
387,0.0027
387.2,0.0024
387.4,0.0026
387.6,0.0027
387.8,0.0033
388,0.0024
388.2,0.0025
388.4,0.0028
388.6,0.0021
388.8,0.0029
389,0.0027
389.2,0.0022
389.4,0.0022
389.6,0.0022
389.8,0.0026
390,0.0018
390.2,0.0023
390.4,0.0023
390.6,0.0026
390.8,0.002
391,0.002
391.2,0.0027
391.4,0.0019
391.6,0.0024
391.8,0.002
392,0.0027
392.2,0.0016
392.4,0.0024
392.6,0.0027
392.8,0.002
393,0.002
393.2,0.0028
393.4,0.0028
393.6,0.0029
393.8,0.0028
394,0.0024
394.2,0.0027
394.4,0.0019
394.6,0.0025
394.8,0.0027
395,0.0027
395.2,0.0028
395.4,0.0026
395.6,0.0028
395.8,0.0021
396,0.003
396.2,0.0026
396.4,0.0027
396.6,0.0023
396.8,0.0024
397,0.0025
397.2,0.0027
397.4,0.0024
397.6,0.0031
397.8,0.0032
398,0.003
398.2,0.0023
398.4,0.0017
398.6,0.002
398.8,0.0022
399,0.002
399.2,0.0031
399.4,0.0023
399.6,0.0026
399.8,0.0024
400,0.0029
400.2,0.0024
400.4,0.0024
400.6,0.0018
400.8,0.0021
401,0.0019
401.2,0.0025
401.4,0.0017
401.6,0.002
401.8,0.0019
402,0.0022
402.2,0.0026
402.4,0.0018
402.6,0.0021
402.8,0.0021
403,0.0025
403.2,0.0018
403.4,0.0021
403.6,0.0019
403.8,0.0015
404,0.0022
404.2,0.0023
404.4,0.0018
404.6,0.0021
404.8,0.0025
405,0.0025
405.2,0.0025
405.4,0.0023
405.6,0.0018
405.8,0.002
406,0.0021
406.2,0.002
406.4,0.0019
406.6,0.0021
406.8,0.0016
407,0.0024
407.2,0.0025
407.4,0.0017
407.6,0.0018
407.8,0.0016
408,0.0019
408.2,0.0014
408.4,0.0018
408.6,0.0011
408.8,0.0013
409,0.0014
409.2,0.0017
409.4,0.0016
409.6,0.0016
409.8,0.0012
410,0.0016
410.2,0.0013
410.4,0.0013
410.6,0.0011
410.8,0.0017
411,0.0017
411.2,0.002
411.4,0.0012
411.6,0.0019
411.8,0.0019
412,0.0019
412.2,0.0017
412.4,0.002
412.6,0.0015
412.8,0.0017
413,0.0019
413.2,0.0015
413.4,0.0016
413.6,0.0021
413.8,0.0018
414,0.0018
414.2,0.0017
414.4,0.0016
414.6,0.0015
414.8,0.002
415,0.0017
415.2,0.0015
415.4,0.0019
415.6,0.002
415.8,0.0016
416,0.0017
416.2,0.0018
