Wavelength [nm]	epsilon DHA [mol/L/cm]	"epsilon PC 22:0, 22:0 [mol/L/cm]"	"epsilon PC 22:1, 22:1 [mol/L/cm]"	"epsilon PC 22:6, 22:6 [mol/L/cm]"
426.2	-0.3172	0.4043	0.6469	0.6147
426.4	-0.7048	0.4403	0.6559	0.6147
426.6	-0.7048	0.4672	0.6199	0.6147
426.8	-0.4141	0.4492	0.6020	0.7026
427.0	-0.6079	0.4313	0.6289	0.0878
427.2	-0.6079	0.4223	0.5930	-0.0878
427.4	-0.7048	0.4043	0.6559	0.3513
427.6	-0.4141	0.4582	0.6199	0.8782
427.8	-0.8017	0.5211	0.6379	0.7904
428.0	-0.3172	0.5031	0.5840	0.6147
428.2	-0.7048	0.5211	0.5930	0.8782
428.4	-0.3172	0.5121	0.6379	0.5269
428.6	-0.3172	0.5031	0.6469	0.7026
428.8	-0.8017	0.4942	0.5660	0.9660
429.0	-0.1234	0.5481	0.6469	0.5269
429.2	-0.6079	0.5301	0.5930	0.2635
429.4	-0.3172	0.4852	0.5481	0.4391
429.6	-0.8017	0.5121	0.6020	0.3513
429.8	-0.2203	0.6020	0.6649	0.6147
430.0	-0.8986	0.5840	0.6020	0.4391
430.2	-0.5110	0.5930	0.6020	0.2635
430.4	-0.5110	0.6110	0.6289	0.6147
430.6	-0.3172	0.6020	0.6199	0.6147
430.8	0.2642	0.5571	0.5750	0.7904
431.0	-0.8017	0.5840	0.6199	0.4391
431.2	0.3611	0.6110	0.6199	0.6147
431.4	-0.3172	0.5571	0.5660	0.5269
431.6	-0.7048	0.6469	0.6559	0.7904
431.8	0.1673	0.5750	0.6199	1.0538
432.0	-0.4141	0.5930	0.6110	0.9660
432.2	-0.7048	0.5391	0.6110	0.1756
432.4	-0.0266	0.5840	0.6020	0.6147
432.6	-0.2203	0.6289	0.6379	0.7904
432.8	-0.5110	0.5660	0.6110	0.4391
433.0	0.0703	0.5660	0.5930	0.5269
433.2	0.0703	0.6020	0.6559	0.6147
433.4	-0.2203	0.5660	0.6289	0.9660
433.6	-0.0266	0.5571	0.6020	0.5269
433.8	-0.6079	0.5930	0.6110	0.2635
434.0	-0.3172	0.6020	0.5840	0.6147
434.2	-0.8017	0.6110	0.5840	0.2635
434.4	0.0703	0.6199	0.6110	0.5269
434.6	-0.6079	0.6289	0.6379	0.4391
434.8	-0.1234	0.5840	0.5660	0.7904
435.0	-0.9955	0.6110	0.5660	-0.3513
435.2	-1.1893	0.6739	0.6379	-0.0878
435.4	-0.6079	0.6199	0.6110	0.0000
435.6	-0.5110	0.6469	0.6199	0.5269
435.8	-0.7048	0.6649	0.5930	0.1756
436.0	-0.4141	0.5750	0.5660	0.4391
436.2	-0.7048	0.6110	0.5481	0.2635
436.4	-0.3172	0.6110	0.6020	0.6147
436.6	0.0703	0.5840	0.5301	0.6147
436.8	-0.5110	0.5930	0.5571	0.4391
437.0	-0.7048	0.6289	0.6199	0.7026
437.2	-0.5110	0.6020	0.5571	0.6147
437.4	-0.4141	0.5571	0.5660	0.4391
437.6	-0.8017	0.6289	0.5930	0.4391
437.8	-0.5110	0.5930	0.5660	0.7904
438.0	-0.8017	0.5750	0.5750	0.4391
438.2	-0.5110	0.5571	0.5660	0.3513
438.4	-0.3172	0.6199	0.5840	0.4391
438.6	-0.4141	0.6379	0.6020	0.5269
438.8	-0.5110	0.6379	0.5660	0.6147
439.0	-0.8017	0.5750	0.5840	0.7026
439.2	-0.6079	0.5750	0.5750	0.3513
439.4	-1.0924	0.5840	0.6110	0.8782
439.6	-0.2203	0.5571	0.5660	1.0538
439.8	-0.6079	0.5571	0.5481	0.5269
440.0	0.0703	0.5750	0.5660	1.4051
440.2	-0.5110	0.6020	0.5391	0.9660
440.4	-0.5110	0.5571	0.5481	0.7026
440.6	-0.8017	0.5571	0.5481	0.3513
440.8	-0.1234	0.6020	0.6110	0.9660
441.0	-0.2203	0.6199	0.5481	0.7904
441.2	-0.4141	0.6110	0.6110	0.7026
441.4	-0.0266	0.5571	0.5660	0.5269
441.6	0.2642	0.6110	0.6020	1.1417
441.8	-0.1234	0.5660	0.5481	1.0538
442.0	-0.1234	0.6020	0.5481	0.7026
442.2	-0.2203	0.6020	0.5660	0.7026
442.4	0.2642	0.5660	0.5840	0.8782
442.6	0.0703	0.5660	0.5481	0.6147
442.8	-0.5110	0.5840	0.5391	0.7026
443.0	0.2642	0.5750	0.5750	0.7904
443.2	0.0703	0.5391	0.5571	0.7026
443.4	-0.4141	0.5750	0.5660	0.5269
443.6	-0.5110	0.5750	0.5660	0.7026
443.8	0.3611	0.6289	0.5660	1.4051
444.0	-0.0266	0.5481	0.5481	1.0538
444.2	0.2642	0.5391	0.5660	1.3173
444.4	-0.0266	0.5481	0.5481	1.1417
444.6	-0.1234	0.5660	0.5840	1.0538
444.8	-0.3172	0.5840	0.5930	0.5269
445.0	-0.3172	0.5301	0.5391	0.9660
445.2	0.1673	0.5750	0.5840	1.4929
445.4	-0.0266	0.6020	0.6110	0.7026
445.6	0.0703	0.5840	0.5930	1.2295
445.8	0.2642	0.5660	0.5930	1.4051
446.0	0.3611	0.5481	0.5571	0.9660
446.2	-0.2203	0.5750	0.5660	0.7904
446.4	0.0703	0.5571	0.5930	0.8782
446.6	0.2642	0.5481	0.5750	1.3173
446.8	-0.1234	0.5031	0.5301	0.8782
447.0	0.1673	0.5750	0.5660	0.9660
447.2	-0.0266	0.5121	0.6020	0.9660
447.4	-0.8017	0.5571	0.5391	0.2635
447.6	-0.4141	0.5750	0.5660	0.6147
447.8	-0.0266	0.5301	0.5301	0.9660
448.0	-0.1234	0.5481	0.6020	0.2635
448.2	-0.0266	0.5301	0.5121	1.1417
448.4	0.2642	0.5750	0.5121	0.7026
448.6	0.1673	0.5660	0.5301	1.1417
448.8	-0.0266	0.5391	0.5031	0.9660
449.0	0.2642	0.6110	0.5750	1.6686
449.2	0.2642	0.5301	0.4942	1.2295
449.4	0.0703	0.5840	0.5301	1.0538
449.6	0.3611	0.5930	0.5660	0.7904
449.8	0.3611	0.5571	0.4762	1.3173
450.0	0.1673	0.5571	0.5391	1.1417
450.2	0.0703	0.5571	0.5121	0.7904
450.4	0.0703	0.5571	0.5301	0.7904
450.6	-0.0266	0.5391	0.4582	0.8782
450.8	0.4580	0.5391	0.5121	1.0538
451.0	-0.0266	0.6559	0.6020	1.0538
451.2	-0.1234	0.5840	0.5391	0.6147
451.4	0.1673	0.5481	0.5301	1.1417
451.6	-0.2203	0.6469	0.5211	0.7026
451.8	-0.1234	0.6110	0.5571	1.0538
452.0	0.1673	0.5571	0.5211	1.3173
452.2	0.0703	0.5840	0.5211	1.1417
452.4	0.0703	0.6110	0.6020	0.2635
452.6	-0.5110	0.6110	0.5481	0.6147
452.8	-0.2203	0.5930	0.5391	0.8782
453.0	0.0703	0.6020	0.5121	0.7026
453.2	-0.0266	0.5660	0.4672	0.7904
453.4	-0.3172	0.5930	0.5301	0.7026
453.6	0.2642	0.6559	0.5301	1.6686
453.8	-0.4141	0.5930	0.5481	0.2635
454.0	-0.5110	0.5750	0.4852	0.3513
454.2	0.2642	0.5750	0.4942	0.8782
454.4	-0.0266	0.5930	0.5031	0.7904
454.6	-0.1234	0.5301	0.5121	0.7904
454.8	-0.3172	0.5391	0.4852	0.7026
455.0	-0.1234	0.5750	0.4852	1.3173
455.2	-0.0266	0.6020	0.5391	1.4051
455.4	0.0703	0.6110	0.5211	0.6147
455.6	-0.0266	0.6110	0.5031	0.5269
455.8	0.3611	0.5660	0.4762	1.2295
456.0	0.0703	0.6199	0.4942	0.6147
456.2	-0.7048	0.6739	0.4942	0.2635
456.4	-0.5110	0.6739	0.5031	0.4391
456.6	-0.4141	0.6559	0.5031	0.7026
456.8	-0.4141	0.6469	0.4942	0.5269
457.0	-0.2203	0.6559	0.5121	0.7026
457.2	-0.2203	0.7008	0.5031	0.7026
457.4	-0.3172	0.7008	0.5121	0.7904
457.6	-0.2203	0.6739	0.5301	0.3513
457.8	-0.4141	0.6199	0.4852	0.7026
458.0	0.6518	0.6559	0.5211	1.1417
458.2	-0.3172	0.6289	0.4762	0.7026
458.4	-0.2203	0.6649	0.5301	1.2295
458.6	-0.2203	0.6289	0.4762	0.9660
458.8	-0.4141	0.6649	0.4942	1.0538
459.0	-0.1234	0.6379	0.4942	0.8782
459.2	0.2642	0.6289	0.4672	0.9660
459.4	-0.3172	0.6110	0.5031	0.7026
459.6	0.3611	0.6289	0.5031	1.4929
459.8	0.0703	0.6110	0.4582	1.2295
460.0	-0.0266	0.5930	0.4852	0.8782
460.2	-0.2203	0.6379	0.5301	0.7026
460.4	0.0703	0.6379	0.5121	0.7904
460.6	0.0703	0.6289	0.5211	1.0538
460.8	-0.1234	0.6289	0.5121	0.8782
461.0	-0.0266	0.6379	0.5301	1.1417
461.2	0.2642	0.6289	0.5301	1.3173
461.4	-0.2203	0.6379	0.4942	1.0538
461.6	-0.2203	0.5840	0.5301	0.8782
461.8	-0.5110	0.5930	0.5301	0.6147
462.0	-0.0266	0.6199	0.6110	1.3173
462.2	-0.0266	0.5840	0.5031	0.4391
462.4	-0.1234	0.5840	0.4942	1.0538
462.6	-0.2203	0.5840	0.5571	0.6147
462.8	0.3611	0.5301	0.5031	1.0538
463.0	-0.4141	0.4942	0.4403	0.8782
463.2	0.2642	0.5660	0.5481	0.9660
463.4	-0.1234	0.5031	0.5391	0.6147
463.6	-0.1234	0.5211	0.5301	0.6147
463.8	0.1673	0.5840	0.5121	0.7904
464.0	0.0703	0.5481	0.5031	1.0538
464.2	-0.0266	0.5391	0.5031	0.8782
464.4	-0.2203	0.5840	0.5301	0.7904
464.6	0.1673	0.5571	0.4582	1.0538
464.8	-0.0266	0.5750	0.4852	1.3173
465.0	-0.1234	0.5571	0.4762	0.7904
465.2	0.3611	0.5750	0.5031	0.8782
465.4	0.0703	0.5571	0.5121	1.4051
465.6	-0.8017	0.5750	0.5031	0.7026
465.8	0.1673	0.5391	0.4942	1.0538
466.0	0.1673	0.5481	0.5211	1.0538
466.2	0.2642	0.4672	0.4672	0.9660
466.4	0.3611	0.5121	0.4762	1.2295
466.6	0.4580	0.5481	0.5031	0.9660
466.8	0.1673	0.5750	0.5391	1.3173
467.0	0.0703	0.5481	0.5031	1.2295
467.2	0.1673	0.5301	0.4582	0.8782
467.4	0.0703	0.5481	0.5211	1.0538
467.6	0.1673	0.5481	0.5121	0.8782
467.8	0.1673	0.5391	0.4852	0.8782
468.0	0.0703	0.5301	0.5031	1.0538
468.2	-0.1234	0.5121	0.4942	0.7026
468.4	-0.0266	0.5301	0.4852	0.8782
468.6	0.6518	0.5750	0.5211	1.2295
468.8	0.2642	0.5391	0.4762	1.0538
469.0	0.1673	0.5301	0.5121	1.1417
469.2	-0.0266	0.6020	0.5211	1.0538
469.4	0.0703	0.6110	0.4852	0.9660
469.6	-0.1234	0.5930	0.4582	0.4391
469.8	0.1673	0.6020	0.5031	0.5269
470.0	0.1673	0.6020	0.4133	1.1417
470.2	0.2642	0.6110	0.4762	1.3173
470.4	0.1673	0.6020	0.4672	1.0538
470.6	-0.0266	0.6559	0.5211	0.8782
470.8	0.2642	0.6649	0.5121	0.9660
471.0	0.1673	0.6199	0.4762	1.2295
471.2	-0.4141	0.5750	0.4492	0.4391
471.4	0.2642	0.5930	0.4762	1.2295
471.6	0.0703	0.6020	0.5031	0.9660
471.8	-0.6079	0.6199	0.5481	1.1417
472.0	0.4580	0.6379	0.5211	1.2295
472.2	-0.1234	0.6469	0.5301	0.7904
472.4	0.2642	0.6199	0.5031	0.8782
472.6	0.1673	0.5571	0.5211	1.4051
472.8	0.4580	0.6469	0.5121	1.5807
473.0	0.8456	0.5930	0.5121	0.9660
473.2	-0.6079	0.6020	0.5391	1.2295
473.4	0.4580	0.6020	0.5211	0.9660
473.6	0.6518	0.6469	0.5211	1.2295
473.8	-0.0266	0.6110	0.4942	1.4051
474.0	-0.3172	0.5750	0.5301	1.0538
474.2	-0.4141	0.5391	0.4223	0.7904
474.4	0.4580	0.6559	0.4852	1.3173
474.6	-0.4141	0.5660	0.4762	0.3513
474.8	-0.5110	0.6020	0.4582	0.5269
475.0	-0.3172	0.6828	0.5481	0.7026
475.2	-0.2203	0.6110	0.4762	0.8782
475.4	-0.3172	0.6020	0.5031	0.7904
475.6	-0.3172	0.6289	0.4852	1.0538
475.8	0.1673	0.6469	0.4852	0.8782
476.0	0.0703	0.6199	0.5031	0.7904
476.2	-0.4141	0.5840	0.5301	0.8782
476.4	0.2642	0.5481	0.4762	0.9660
476.6	-0.6079	0.5840	0.5301	0.6147
476.8	-0.3172	0.5930	0.4762	0.5269
477.0	0.1673	0.6110	0.5121	1.0538
477.2	-0.2203	0.6379	0.5481	0.8782
477.4	-0.1234	0.5840	0.5571	0.6147
477.6	-0.4141	0.5930	0.5211	0.9660
477.8	-0.0266	0.6469	0.5391	1.1417
478.0	-0.2203	0.5930	0.5301	0.8782
478.2	-0.3172	0.6289	0.5211	0.9660
478.4	-0.2203	0.6020	0.5211	0.8782
478.6	-0.5110	0.5750	0.5121	0.6147
478.8	0.3611	0.6469	0.5840	1.1417
479.0	-0.4141	0.5840	0.5391	0.7904
479.2	-0.5110	0.6110	0.5391	0.3513
479.4	-0.3172	0.5211	0.5301	0.7026
479.6	0.2642	0.5750	0.5391	1.1417
479.8	-0.5110	0.5660	0.5031	0.7904
480.0	0.1673	0.5301	0.4852	1.1417
480.2	-0.8017	0.5840	0.5660	0.7026
480.4	-0.1234	0.5660	0.4762	0.9660
480.6	-0.3172	0.5840	0.5571	0.9660
480.8	-0.7048	0.6110	0.5301	0.7026
481.0	0.0703	0.5930	0.5481	0.7904
481.2	-0.6079	0.5660	0.5481	0.6147
481.4	-0.1234	0.6379	0.5571	1.0538
481.6	-0.3172	0.5481	0.5211	0.7904
481.8	-0.1234	0.6020	0.5121	0.9660
482.0	0.0703	0.6020	0.5211	0.8782
482.2	-0.2203	0.5840	0.4942	0.8782
482.4	-0.2203	0.5930	0.5211	0.3513
482.6	0.1673	0.5211	0.5301	1.2295
482.8	0.0703	0.5660	0.5211	0.5269
483.0	0.1673	0.5571	0.4942	1.0538
483.2	-0.0266	0.5840	0.4942	0.9660
483.4	-0.0266	0.5660	0.5211	0.7904
483.6	-0.4141	0.5571	0.5211	0.3513
483.8	-0.3172	0.5571	0.5031	0.7904
484.0	-0.3172	0.5660	0.5211	0.5269
484.2	0.3611	0.5571	0.5211	1.0538
484.4	-0.0266	0.5750	0.5391	0.8782
484.6	0.0703	0.5840	0.5301	0.8782
484.8	-0.0266	0.6020	0.5840	0.8782
485.0	-0.1234	0.5930	0.5660	1.0538
485.2	-0.0266	0.5660	0.5301	0.7904
485.4	0.1673	0.5840	0.5571	0.8782
485.6	-0.0266	0.5481	0.5211	0.7904
485.8	0.1673	0.6199	0.6020	0.8782
486.0	0.0703	0.5571	0.5121	1.0538
486.2	0.3611	0.5481	0.5301	1.0538
486.4	0.0703	0.5571	0.5301	0.6147
486.6	0.1673	0.5301	0.5031	0.9660
486.8	0.0703	0.5121	0.4582	1.0538
487.0	0.1673	0.5211	0.5211	0.6147
487.2	-0.1234	0.5031	0.5121	0.4391
487.4	0.3611	0.5121	0.5391	1.4051
487.6	0.3611	0.4852	0.5211	0.8782
487.8	0.3611	0.5211	0.5301	0.9660
488.0	0.1673	0.5211	0.5211	0.8782
488.2	-0.1234	0.5031	0.5211	0.9660
488.4	0.0703	0.5211	0.5481	0.8782
488.6	0.0703	0.4942	0.5211	0.7904
488.8	0.4580	0.4852	0.5211	0.7904
489.0	-0.0266	0.4852	0.5121	0.7026
489.2	0.0703	0.5031	0.5211	1.6686
489.4	-0.1234	0.5121	0.5121	1.1417
489.6	-0.2203	0.4582	0.4672	0.6147
489.8	-0.1234	0.4852	0.5301	0.8782
490.0	-0.0266	0.4582	0.4942	1.2295
490.2	0.2642	0.4672	0.5121	0.9660
490.4	-0.2203	0.4223	0.4582	0.8782
490.6	-0.1234	0.4313	0.5031	0.9660
490.8	-0.3172	0.4492	0.4942	0.6147
491.0	0.2642	0.3863	0.4403	0.9660
491.2	0.2642	0.4133	0.4852	0.9660
491.4	0.2642	0.4403	0.5031	1.0538
491.6	-0.4141	0.4223	0.4672	0.6147
491.8	0.1673	0.4672	0.5391	0.7026
492.0	-0.0266	0.4582	0.5301	0.7026
492.2	-0.4141	0.4672	0.5031	0.7904
492.4	-0.0266	0.5301	0.5301	0.7904
492.6	-0.3172	0.4403	0.5391	0.7026
492.8	-0.2203	0.4223	0.4852	0.8782
493.0	-0.2203	0.4223	0.4672	0.6147
493.2	0.2642	0.4942	0.5301	1.1417
493.4	-0.4141	0.4672	0.4942	1.0538
493.6	-0.0266	0.5031	0.5840	1.1417
493.8	-0.4141	0.4403	0.5211	0.5269
494.0	-0.1234	0.4582	0.4942	1.0538
494.2	0.3611	0.4223	0.4672	0.8782
494.4	0.4580	0.4223	0.4313	0.9660
494.6	-0.5110	0.5121	0.4582	0.5269
494.8	-0.0266	0.3774	0.4403	1.0538
495.0	0.5549	0.4223	0.4942	0.8782
495.2	0.3611	0.4762	0.5211	1.8442
495.4	-0.0266	0.4403	0.4672	0.5269
495.6	-0.6079	0.4852	0.5121	0.7904
495.8	-0.2203	0.4672	0.4582	0.7904
496.0	-0.1234	0.4043	0.4403	0.6147
496.2	0.1673	0.4672	0.5481	1.0538
496.4	0.3611	0.4133	0.5211	0.7904
496.6	0.0703	0.4492	0.4313	0.6147
496.8	-0.2203	0.4762	0.5121	0.5269
497.0	0.2642	0.4313	0.4852	1.1417
497.2	-0.6079	0.4043	0.4852	0.7904
497.4	-0.2203	0.4403	0.5211	0.4391
497.6	-0.3172	0.4762	0.5301	0.7026
497.8	0.0703	0.4492	0.4942	0.7026
498.0	0.0703	0.4133	0.4582	0.3513
498.2	0.0703	0.4582	0.5211	0.1756
498.4	0.3611	0.4492	0.4762	0.7904
498.6	0.6518	0.4043	0.4942	0.7026
498.8	0.2642	0.4492	0.4762	0.8782
499.0	-0.0266	0.4672	0.5211	1.0538
499.2	0.0703	0.4672	0.4942	1.0538
499.4	0.2642	0.4403	0.5391	0.9660
499.6	-0.4141	0.4762	0.5121	0.0000
499.8	0.3611	0.4313	0.4313	0.4391
500.0	0.5549	0.4492	0.4582	1.5807
