Wavelength [nm]	epsilon DHA [mol/L/cm]	"epsilon PC 22:0, 22:0 [mol/L/cm]"	"epsilon PC 22:1, 22:1 [mol/L/cm]"	"epsilon PC 22:6, 22:6 [mol/L/cm]"
242.4	332.4347	39.5418	12.4978	252.3931
242.6	330.8843	38.7421	12.1743	252.4809
242.8	330.0122	37.9964	11.9137	252.6565
243.0	328.5588	37.2327	11.6173	252.7444
243.2	327.2022	36.5229	11.3836	253.0078
243.4	325.8456	35.8491	11.0872	252.8322
243.6	324.5859	35.1752	10.8176	253.0956
243.8	323.3262	34.4205	10.5750	253.5347
244.0	321.6789	33.7017	10.3235	253.4469
244.2	320.0316	32.9021	10.0539	253.7982
244.4	318.6750	32.0665	9.6855	254.0616
244.6	316.4464	31.3297	9.4160	254.1495
244.8	315.2836	30.7098	9.1465	254.5886
245.0	312.7642	29.9281	8.8050	254.6764
245.2	311.4076	29.3531	8.5714	254.5007
245.4	309.4696	28.6523	8.3109	254.7642
245.6	306.9502	27.9874	8.0054	254.8520
245.8	305.3998	27.3495	7.7089	254.9398
246.0	303.0743	26.8014	7.5292	254.8520
246.2	301.4270	26.2444	7.2327	255.5546
246.4	298.6169	25.5885	6.9811	255.4668
246.6	296.6789	25.0135	6.7385	255.7302
246.8	294.3533	24.4834	6.4690	255.6424
247.0	292.1246	24.0252	6.3073	255.8180
247.2	289.8960	23.5849	6.0737	255.8180
247.4	287.9580	23.2165	5.9479	255.7302
247.6	286.4076	22.8931	5.8041	256.0815
247.8	284.2758	22.5786	5.6783	255.9937
248.0	282.2409	22.2192	5.5436	255.9059
248.2	279.8184	21.8149	5.3639	255.9059
248.4	276.5239	21.4376	5.2381	255.5546
248.6	273.9076	21.0692	5.1033	255.7302
248.8	271.0975	20.6649	4.9326	255.6424
249.0	268.9657	20.3235	4.8248	255.9059
249.2	266.0588	19.9281	4.6900	255.7302
249.4	263.1518	19.5957	4.5642	255.3789
249.6	260.5355	19.2273	4.4834	255.3789
249.8	257.3378	18.8410	4.3666	255.6424
250.0	254.3340	18.4726	4.2588	255.1155
250.2	251.6208	18.0863	4.1060	255.0277
250.4	248.9076	17.7628	4.0252	255.1155
250.6	246.0975	17.3944	3.9084	255.3789
250.8	243.0936	17.0440	3.8095	254.9398
251.0	240.0898	16.8104	3.7556	255.1155
251.2	237.2797	16.5139	3.6208	255.2911
251.4	234.1789	16.2084	3.5669	255.0277
251.6	231.0781	15.9209	3.4591	254.8520
251.8	228.3650	15.6783	3.4142	255.4668
252.0	225.3611	15.4627	3.3333	254.8520
252.2	222.3572	15.2650	3.2615	254.3251
252.4	220.1285	15.0404	3.2345	254.6764
252.6	217.9967	14.9057	3.2075	254.5886
252.8	216.1557	14.7260	3.1896	254.5886
253.0	213.6363	14.5732	3.1177	254.1495
253.2	211.5045	14.3756	3.0638	253.5347
253.4	208.8882	14.2498	3.0548	253.2713
253.6	206.8533	14.0341	3.0009	253.0078
253.8	203.7526	13.8365	2.9739	252.9200
254.0	201.6208	13.6388	2.9290	253.0078
254.2	198.9076	13.5310	2.9380	252.3053
254.4	197.2603	13.3423	2.8931	251.6905
254.6	194.2564	13.1806	2.8482	251.1636
254.8	192.3184	12.9560	2.8122	251.2514
255.0	190.1867	12.8571	2.8122	250.3732
255.2	188.0549	12.7044	2.7763	250.2854
255.4	186.2138	12.5427	2.8122	249.6707
255.6	184.4696	12.4079	2.7134	249.5829
255.8	182.1440	12.2642	2.7134	248.7047
256.0	180.0122	12.1204	2.7583	248.7925
256.2	178.5588	11.9946	2.6774	248.2656
256.4	176.7177	11.9048	2.6056	248.0899
256.6	175.3611	11.7251	2.6595	248.1777
256.8	173.5200	11.5723	2.6415	248.0021
257.0	171.7758	11.4016	2.6235	247.3874
257.2	170.6130	11.2489	2.6685	247.2996
257.4	169.5471	11.1231	2.6235	246.8605
257.6	168.0936	10.9883	2.6325	247.2117
257.8	166.6402	10.8266	2.6235	247.1239
258.0	165.5743	10.6828	2.6415	246.2457
258.2	164.9929	10.5481	2.6505	246.7726
258.4	164.1208	10.3863	2.6325	246.9483
258.6	163.1518	10.2516	2.5876	247.2117
258.8	161.7952	10.1078	2.5786	247.2996
259.0	161.7952	9.9641	2.5517	247.7386
259.2	160.9231	9.8652	2.5696	247.8265
259.4	160.5355	9.7305	2.5696	248.7047
259.6	160.5355	9.6137	2.5337	249.1438
259.8	159.9541	9.5058	2.5337	249.4950
260.0	159.9541	9.4250	2.5067	250.3732
260.2	159.8572	9.3711	2.5337	250.8123
260.4	159.2758	9.2992	2.5157	251.1636
260.6	159.5665	9.2273	2.5517	251.4271
260.8	159.6634	9.1914	2.5517	252.3053
261.0	159.7603	9.0746	2.5337	252.4809
261.2	159.4696	9.0207	2.5337	252.8322
261.4	159.9541	8.9128	2.5696	253.0956
261.6	160.3417	8.7960	2.5517	253.9738
261.8	160.3417	8.7062	2.5157	254.1495
262.0	160.4386	8.6164	2.5696	254.9398
262.2	160.7293	8.4726	2.5067	255.9059
262.4	160.9231	8.3738	2.5696	256.9597
262.6	161.2138	8.2570	2.5517	256.7841
262.8	161.5045	8.1491	2.5247	257.2231
263.0	160.8262	8.0773	2.5606	257.4866
263.2	161.1169	8.0593	2.6056	257.6622
263.4	160.8262	7.9155	2.5606	257.3988
263.6	161.0200	7.7987	2.5247	257.3988
263.8	161.0200	7.6640	2.5606	258.3648
264.0	161.8921	7.6550	2.5606	257.9257
264.2	161.1169	7.5651	2.5876	258.3648
264.4	160.8262	7.4573	2.5966	257.3988
264.6	160.3417	7.3675	2.5337	256.8719
264.8	161.0200	7.2776	2.5517	257.9257
265.0	159.8572	7.2147	2.5696	256.6962
265.2	159.3727	7.1518	2.5696	256.3450
265.4	159.0820	7.0710	2.5427	256.1693
265.6	158.7913	7.0081	2.5696	255.7302
265.8	158.2099	6.9093	2.5876	254.9398
266.0	157.5316	6.8194	2.6056	254.4129
266.2	157.1440	6.7745	2.5966	253.8860
266.4	156.5626	6.6487	2.5606	253.1835
266.6	156.5626	6.5768	2.5517	252.9200
266.8	156.4657	6.5499	2.5696	252.9200
267.0	155.5936	6.5229	2.6056	251.7783
267.2	155.5936	6.4960	2.5966	251.6905
267.4	154.9153	6.4600	2.6056	251.5149
267.6	155.1091	6.4331	2.5966	251.1636
267.8	154.0433	6.3971	2.6505	250.8123
268.0	154.2371	6.3073	2.6056	250.8123
268.2	154.0433	6.2174	2.5966	250.7245
268.4	153.9464	6.1635	2.6056	250.6367
268.6	154.0433	6.1186	2.6146	251.1636
268.8	154.3340	6.0737	2.6146	250.8123
269.0	154.3340	6.0377	2.6235	250.8123
269.2	154.3340	5.9838	2.6235	251.4271
269.4	154.9153	5.9119	2.5876	251.5149
269.6	155.4967	5.8670	2.6505	252.3931
269.8	155.5936	5.8131	2.5966	252.7444
270.0	155.9812	5.7592	2.6146	253.5347
270.2	156.7564	5.6783	2.6056	253.7104
270.4	157.5316	5.6334	2.5786	255.2911
