Wavelength [nm]	Transmissivity of fused quartz glass vial [%]	Transmissivity of borosilicate glass vial [%]	Transmissivity of polyvinylfluoride bag [%]	Transmissivity PVF bag with PET film [%]	Transmissivity of 4 mil polyethylene terephthalate film [%]
249.8	88.9	0.1	27.5	0.0	0.0
250.0	89.3	0.1	27.9	0.0	0.0
250.2	89.6	0.1	28.3	0.0	0.0
250.4	89.5	0.1	28.6	0.0	0.0
250.6	89.7	0.1	29.0	0.0	0.0
250.8	89.7	0.1	29.3	0.0	0.0
251.0	89.8	0.1	29.6	0.0	0.0
251.2	89.8	0.1	29.9	0.0	0.0
251.4	89.9	0.1	30.2	0.0	0.0
251.6	89.8	0.1	30.4	0.0	0.0
251.8	90.0	0.1	30.6	0.0	0.0
252.0	90.0	0.1	30.8	0.0	0.0
252.2	90.0	0.2	31.0	0.0	0.0
252.4	90.1	0.2	31.2	0.0	0.0
252.6	90.2	0.2	31.3	0.0	0.0
252.8	90.4	0.2	31.3	0.0	0.0
253.0	90.4	0.2	31.4	0.0	0.0
253.2	90.4	0.2	31.5	0.0	0.0
253.4	90.5	0.2	31.5	0.0	0.0
253.6	90.8	0.2	31.5	0.0	0.0
253.8	90.7	0.2	31.5	0.0	0.0
254.0	90.8	0.2	31.6	0.0	0.0
254.2	90.8	0.2	31.5	0.0	0.0
254.4	90.7	0.2	31.4	0.0	0.0
254.6	91.0	0.3	31.4	0.0	0.0
254.8	91.1	0.3	31.3	0.0	0.0
255.0	91.1	0.3	31.3	0.0	0.0
255.2	91.1	0.3	31.2	0.0	0.0
255.4	91.1	0.3	31.1	0.0	0.0
255.6	91.3	0.3	31.1	0.0	0.0
255.8	91.1	0.3	31.0	0.0	0.0
256.0	91.3	0.3	30.9	0.0	0.0
256.2	91.4	0.4	30.7	0.0	0.0
256.4	91.3	0.4	30.6	0.0	0.0
256.6	91.3	0.4	30.5	0.0	0.0
256.8	91.4	0.4	30.4	0.0	0.0
257.0	91.5	0.4	30.3	0.0	0.0
257.2	91.6	0.4	30.1	0.0	0.0
257.4	91.5	0.5	30.0	0.0	0.0
257.6	91.6	0.5	29.9	0.0	0.0
257.8	91.6	0.5	29.7	0.0	0.0
258.0	91.8	0.5	29.6	0.0	0.0
258.2	91.8	0.5	29.4	0.0	0.0
258.4	91.9	0.6	29.2	0.0	0.0
258.6	91.8	0.6	29.0	0.0	0.0
258.8	92.0	0.6	28.7	0.0	0.0
259.0	91.9	0.6	28.5	0.0	0.0
259.2	91.8	0.7	28.2	0.0	0.0
259.4	91.9	0.7	28.0	0.0	0.0
259.6	91.8	0.7	27.8	0.0	0.0
259.8	91.8	0.7	27.5	0.0	0.0
260.0	91.9	0.8	27.2	0.0	0.0
260.2	92.0	0.8	27.0	0.0	0.0
260.4	92.0	0.8	26.8	0.0	0.0
260.6	92.2	0.9	26.6	0.0	0.0
260.8	92.1	0.9	26.3	0.0	0.0
261.0	92.3	0.9	26.0	0.0	0.0
261.2	92.4	1.0	25.7	0.0	0.0
261.4	92.4	1.0	25.4	0.0	0.0
261.6	92.4	1.0	25.1	0.0	0.0
261.8	92.4	1.1	24.7	0.0	0.0
262.0	92.6	1.1	24.3	0.0	0.0
262.2	92.6	1.2	24.0	0.0	0.0
262.4	92.6	1.2	23.6	0.0	0.0
262.6	92.5	1.3	23.3	0.0	0.0
262.8	92.6	1.3	23.0	0.0	0.0
263.0	92.6	1.4	22.7	0.0	0.0
263.2	92.5	1.4	22.4	0.0	0.0
263.4	92.8	1.5	22.2	0.0	0.0
263.6	92.7	1.6	21.9	0.0	0.0
263.8	92.8	1.6	21.6	0.0	0.0
264.0	92.8	1.7	21.4	0.0	0.0
264.2	92.8	1.7	21.1	0.0	0.0
264.4	92.8	1.8	20.9	0.0	0.0
264.6	92.7	1.9	20.6	0.0	0.0
264.8	93.0	2.0	20.3	0.0	0.0
265.0	92.8	2.0	20.2	0.0	0.0
265.2	92.8	2.1	19.9	0.0	0.0
265.4	92.8	2.2	19.6	0.0	0.0
265.6	92.9	2.3	19.4	0.0	0.0
265.8	92.6	2.4	19.1	0.0	0.0
266.0	92.9	2.5	18.8	0.0	0.0
266.2	92.8	2.6	18.5	0.0	0.0
266.4	92.9	2.7	18.2	0.0	0.0
266.6	92.9	2.8	17.9	0.0	0.0
266.8	92.8	2.9	17.6	0.0	0.0
267.0	92.9	3.0	17.4	0.0	0.0
267.2	92.7	3.0	17.1	0.0	0.0
267.4	93.2	3.2	16.8	0.0	0.0
267.6	93.0	3.3	16.5	0.0	0.0
267.8	92.9	3.4	16.2	0.0	0.0
268.0	93.0	3.5	15.9	0.0	0.0
268.2	92.8	3.6	15.6	0.0	0.0
268.4	93.0	3.8	15.3	0.0	0.0
268.6	93.1	3.9	15.1	0.0	0.0
268.8	93.1	4.0	14.8	0.0	0.0
269.0	93.3	4.2	14.6	0.0	0.0
269.2	93.0	4.3	14.4	0.0	0.0
269.4	93.3	4.5	14.1	0.0	0.0
269.6	93.0	4.6	14.0	0.0	0.0
269.8	93.2	4.8	13.8	0.0	0.0
270.0	93.1	4.9	13.6	0.0	0.0
270.2	93.2	5.1	13.4	0.0	0.0
270.4	93.1	5.3	13.2	0.0	0.0
270.6	93.2	5.5	13.0	0.0	0.0
270.8	93.1	5.6	12.8	0.0	0.0
271.0	93.1	5.9	12.6	0.0	0.0
271.2	93.2	6.1	12.4	0.0	0.0
271.4	93.3	6.3	12.2	0.0	0.0
271.6	93.3	6.5	12.1	0.0	0.0
271.8	93.4	6.7	12.0	0.0	0.0
272.0	93.4	6.8	11.8	0.0	0.0
272.2	93.3	7.0	11.7	0.0	0.0
272.4	93.4	7.2	11.5	0.0	0.0
272.6	93.5	7.4	11.3	0.0	0.0
272.8	93.4	7.7	11.1	0.0	0.0
273.0	93.3	7.9	11.0	0.0	0.0
273.2	93.1	8.1	10.8	0.0	0.0
273.4	93.3	8.4	10.6	0.0	0.0
273.6	93.3	8.6	10.4	0.0	0.0
273.8	93.2	8.9	10.3	0.0	0.0
274.0	93.4	9.1	10.1	0.0	0.0
274.2	93.4	9.4	10.0	0.0	0.0
274.4	93.3	9.7	9.8	0.0	0.0
274.6	93.4	9.9	9.7	0.0	0.0
274.8	93.4	10.2	9.5	0.0	0.0
275.0	93.2	10.5	9.4	0.0	0.0
275.2	93.4	10.8	9.2	0.0	0.0
275.4	93.5	11.1	9.1	0.0	0.0
275.6	93.4	11.4	8.9	0.0	0.0
275.8	93.5	11.8	8.8	0.0	0.0
276.0	93.4	12.1	8.7	0.0	0.0
276.2	93.4	12.4	8.6	0.0	0.0
276.4	93.6	12.7	8.5	0.0	0.0
276.6	93.6	13.0	8.3	0.0	0.0
276.8	93.6	13.4	8.2	0.0	0.0
277.0	93.8	13.7	8.2	0.0	0.0
277.2	93.4	14.1	8.1	0.0	0.0
277.4	93.7	14.4	8.0	0.0	0.0
277.6	93.6	14.8	7.9	0.0	0.0
277.8	93.5	15.1	7.9	0.0	0.0
278.0	93.6	15.5	7.8	0.0	0.0
278.2	93.6	15.8	7.8	0.0	0.0
278.4	93.5	16.2	7.9	0.0	0.0
278.6	93.6	16.6	7.9	0.0	0.0
278.8	93.6	17.0	7.9	0.0	0.0
279.0	93.6	17.4	8.0	0.0	0.0
279.2	93.6	17.8	8.1	0.0	0.0
279.4	93.7	18.2	8.2	0.0	0.0
279.6	93.5	18.6	8.4	0.0	0.0
279.8	93.6	19.1	8.5	0.0	0.0
280.0	93.8	19.5	8.7	0.0	0.0
280.2	93.6	19.9	8.9	0.0	0.0
280.4	93.6	20.3	9.1	0.0	0.0
280.6	93.8	20.8	9.4	0.0	0.0
280.8	93.7	21.2	9.6	0.0	0.0
281.0	93.7	21.7	9.9	0.0	0.0
281.2	94.0	22.2	10.1	0.0	0.0
281.4	93.7	22.6	10.4	0.0	0.0
281.6	93.7	23.0	10.6	0.0	0.0
281.8	93.7	23.5	10.8	0.0	0.0
282.0	93.7	23.9	11.0	0.0	0.0
282.2	93.6	24.3	11.1	0.0	0.0
282.4	93.9	24.9	11.2	0.0	0.0
282.6	93.9	25.3	11.2	0.0	0.0
282.8	93.9	25.8	11.2	0.0	0.0
283.0	93.8	26.1	11.2	0.0	0.0
283.2	93.9	26.6	11.1	0.0	0.0
283.4	94.0	27.0	11.0	0.0	0.0
283.6	93.9	27.5	10.9	0.0	0.0
283.8	93.8	28.0	10.7	0.0	0.0
284.0	93.8	28.6	10.5	0.0	0.0
284.2	93.9	29.1	10.3	0.0	0.0
284.4	93.6	29.5	10.2	0.0	0.0
284.6	93.8	30.1	10.0	0.0	0.0
284.8	93.7	30.3	10.0	0.0	0.0
285.0	93.9	30.9	9.9	0.0	0.0
285.2	94.1	31.4	9.8	0.0	0.0
285.4	93.9	31.8	9.8	0.0	0.0
285.6	93.8	32.2	9.8	0.0	0.0
285.8	93.7	32.7	9.9	0.0	0.0
286.0	93.8	33.3	10.0	0.0	0.0
286.2	94.0	33.9	10.2	0.0	0.0
286.4	93.9	34.4	10.4	0.0	0.0
286.6	93.7	34.8	10.8	0.0	0.0
286.8	94.0	35.4	11.2	0.0	0.0
287.0	93.8	35.7	11.7	0.0	0.0
287.2	93.8	36.3	12.3	0.0	0.0
287.4	93.7	36.7	13.0	0.0	0.0
287.6	93.9	37.2	13.7	0.0	0.0
287.8	94.1	37.8	14.6	0.0	0.0
288.0	94.0	38.3	15.7	0.0	0.0
288.2	94.1	38.8	16.9	0.0	0.0
288.4	94.0	39.3	18.2	0.0	0.0
288.6	94.0	39.9	19.6	0.0	0.0
288.8	94.0	40.4	21.2	0.0	0.0
289.0	93.8	40.9	22.7	0.0	0.0
289.2	93.8	41.4	24.4	0.0	0.0
289.4	93.6	41.8	26.1	0.0	0.0
289.6	94.1	42.5	27.8	0.0	0.0
289.8	94.0	42.9	29.7	0.0	0.0
290.0	94.0	43.5	31.7	0.0	0.0
290.2	94.1	44.1	33.7	0.0	0.0
290.4	94.0	44.6	35.7	0.0	0.0
290.6	94.1	45.1	37.5	0.0	0.0
290.8	94.1	45.6	39.2	0.0	0.0
291.0	94.0	46.1	40.8	0.0	0.0
291.2	94.1	46.5	42.3	0.0	0.0
291.4	93.9	46.9	43.9	0.0	0.0
291.6	94.3	47.5	45.5	0.0	0.0
291.8	94.2	48.0	47.0	0.0	0.0
292.0	94.1	48.4	48.4	0.0	0.0
292.2	94.3	48.9	49.7	0.0	0.0
292.4	94.3	49.4	50.9	0.0	0.0
292.6	94.2	49.9	52.0	0.0	0.0
292.8	94.3	50.5	53.1	0.0	0.0
293.0	94.0	50.8	54.2	0.0	0.0
293.2	94.3	51.4	55.1	0.0	0.0
293.4	94.2	51.9	56.1	0.0	0.0
293.6	94.3	52.5	57.0	0.0	0.0
293.8	94.2	52.9	57.7	0.0	0.0
294.0	94.2	53.3	58.5	0.0	0.0
294.2	94.4	54.0	59.1	0.0	0.0
294.4	94.2	54.3	59.8	0.0	0.0
294.6	94.3	54.8	60.4	0.0	0.0
294.8	94.7	55.4	60.9	0.0	0.0
295.0	94.6	55.9	61.4	0.0	0.0
295.2	94.5	56.2	61.9	0.0	0.0
295.4	94.4	56.5	62.2	0.0	0.0
295.6	94.3	57.0	62.6	0.0	0.0
295.8	94.4	57.5	63.0	0.0	0.0
296.0	94.3	57.9	63.4	0.0	0.0
296.2	93.7	57.9	63.7	0.0	0.0
296.4	94.3	58.7	64.0	0.0	0.0
296.6	94.3	59.2	64.3	0.0	0.0
296.8	93.8	59.3	64.6	0.0	0.0
297.0	94.2	60.1	64.9	0.0	0.0
297.2	94.4	60.6	65.1	0.0	0.0
297.4	94.2	60.9	65.3	0.0	0.0
297.6	94.4	61.4	65.5	0.0	0.0
297.8	94.4	61.8	65.7	0.0	0.0
298.0	94.2	62.0	65.9	0.0	0.0
298.2	94.5	62.6	66.0	0.0	0.0
298.4	94.4	63.0	66.1	0.0	0.0
298.6	94.1	63.1	66.2	0.0	0.0
298.8	94.3	63.6	66.3	0.0	0.0
299.0	94.1	64.0	66.4	0.0	0.0
299.2	94.4	64.5	66.5	0.0	0.0
299.4	94.4	64.9	66.5	0.0	0.0
299.6	94.3	65.2	66.7	0.0	0.0
299.8	94.3	65.7	66.7	0.0	0.0
300.0	94.4	66.0	66.8	0.0	0.0
300.2	94.2	66.3	66.9	0.0	0.0
300.4	94.2	66.6	67.0	0.0	0.0
300.6	94.4	67.1	67.1	0.0	0.0
300.8	94.6	67.7	67.2	0.0	0.0
301.0	94.5	67.9	67.2	0.0	0.0
301.2	94.4	68.3	67.4	0.0	0.0
301.4	94.6	68.7	67.4	0.0	0.0
301.6	94.4	68.9	67.5	0.0	0.0
301.8	94.3	69.2	67.6	0.0	0.0
302.0	94.2	69.6	67.7	0.0	0.0
302.2	94.3	69.9	67.8	0.0	0.0
302.4	94.3	70.3	67.8	0.0	0.0
302.6	94.7	70.9	67.9	0.0	0.0
302.8	94.3	70.9	68.0	0.0	0.0
303.0	94.6	71.5	68.0	0.0	0.0
303.2	94.4	71.6	68.1	0.0	0.0
303.4	93.8	71.4	68.1	0.0	0.0
303.6	94.3	72.2	68.1	0.0	0.0
303.8	94.5	72.7	68.2	0.0	0.0
304.0	94.4	72.9	68.3	0.0	0.0
304.2	94.5	73.3	68.4	0.0	0.0
304.4	94.3	73.4	68.3	0.0	0.0
304.6	94.6	73.9	68.3	0.0	0.0
304.8	94.5	74.2	68.4	0.0	0.0
305.0	94.3	74.4	68.5	0.0	0.0
