Wavelength [nm]	DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	Uncertainty in DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	DAC down [1/m] (fitted)
439.3	0.17	0.03	
439.6	0.17	0.03	
440.0	0.17	0.03	
440.3	0.17	0.03	
440.7	0.17	0.03	
441.0	0.17	0.03	
441.4	0.17	0.02	
441.8	0.17	0.02	
442.1	0.17	0.02	
442.5	0.17	0.02	
442.8	0.17	0.02	
443.2	0.17	0.02	
443.5	0.17	0.02	
443.9	0.17	0.02	
444.3	0.17	0.02	
444.6	0.17	0.02	
445.0	0.16	0.02	
445.3	0.16	0.02	
445.7	0.16	0.02	
446.0	0.16	0.02	
446.4	0.16	0.02	
446.8	0.16	0.02	
447.1	0.16	0.02	
447.5	0.16	0.02	
447.8	0.16	0.02	
448.2	0.16	0.02	
448.5	0.16	0.02	
448.9	0.16	0.02	
449.3	0.16	0.02	
449.6	0.16	0.02	
450.0	0.16	0.02	
450.3	0.16	0.02	
450.7	0.16	0.02	
451.0	0.16	0.02	
451.4	0.16	0.02	
451.8	0.16	0.02	
452.1	0.16	0.02	
452.5	0.16	0.02	
452.8	0.16	0.02	
453.2	0.16	0.02	
453.5	0.16	0.02	
453.9	0.16	0.02	
454.2	0.16	0.02	
454.6	0.16	0.02	
455.0	0.16	0.02	
455.3	0.16	0.02	
455.7	0.16	0.02	
456.0	0.16	0.02	
456.4	0.16	0.02	
456.7	0.16	0.02	
457.1	0.16	0.02	
457.4	0.16	0.02	
457.8	0.16	0.02	
458.2	0.15	0.02	
458.5	0.15	0.02	
458.9	0.15	0.02	
459.2	0.15	0.02	
459.6	0.15	0.02	
459.9	0.15	0.02	
460.3	0.15	0.02	
460.6	0.15	0.02	
461.0	0.15	0.02	
461.4	0.15	0.02	
461.7	0.15	0.02	
462.1	0.15	0.02	
462.4	0.15	0.02	
462.8	0.15	0.02	
463.1	0.15	0.02	
463.5	0.15	0.02	
463.8	0.15	0.02	
464.2	0.15	0.02	
464.5	0.15	0.02	
464.9	0.15	0.02	
465.3	0.15	0.02	
465.6	0.15	0.02	
466.0	0.15	0.02	
466.3	0.15	0.02	
466.7	0.15	0.02	
467.0	0.15	0.02	
467.4	0.15	0.02	
467.7	0.15	0.02	
468.1	0.15	0.02	
468.5	0.15	0.02	
468.8	0.15	0.02	
469.2	0.15	0.02	
469.5	0.15	0.02	
469.9	0.14	0.02	
470.2	0.14	0.02	
470.6	0.14	0.02	
470.9	0.14	0.02	
471.3	0.14	0.02	
471.6	0.14	0.02	
472.0	0.14	0.02	
472.3	0.14	0.02	
472.7	0.14	0.02	
473.1	0.14	0.02	
