"","Wavelength_nm","Kd_per_meter","Kd_per_meter.sd","Kd_per_meter_fitted"
"305.667664",305.667664,NA,NA,0.388900185993448
"306.03775",306.03775,NA,NA,0.386765172195935
"306.407837",306.407837,NA,NA,0.384641873637911
"306.777832",306.777832,NA,NA,0.382530755247362
"307.147858",307.147858,NA,NA,0.380431048367638
"307.517853",307.517853,NA,NA,0.37834304121712
"307.887756",307.887756,NA,NA,0.37626700907448
"308.25766",308.25766,NA,NA,0.37420236290447
"308.627533",308.627533,NA,NA,0.372149217433492
"308.997406",308.997406,NA,NA,0.37010733700716
"309.367218",309.367218,NA,NA,0.368076993799255
"309.737",309.737,NA,NA,0.36605795204656
"310.10675",310.10675,NA,NA,0.364050158789708
"310.476471",310.476471,NA,NA,0.362053534269037
"310.84613",310.84613,NA,NA,0.360068192259538
"311.21582",311.21582,NA,NA,0.358093571865512
"311.585419",311.585419,NA,NA,0.356130262388981
"311.955048",311.955048,NA,NA,0.354177559042715
"312.324615",312.324615,NA,NA,0.352235887442065
"312.694122",312.694122,NA,NA,0.350305173115709
"313.063629",313.063629,NA,NA,0.348385041634382
"313.433075",313.433075,NA,NA,0.346475749371883
"313.802521",313.802521,NA,NA,0.344576920810485
"314.171906",314.171906,NA,NA,0.342688809550342
"314.54129",314.54129,NA,NA,0.340811049276469
"314.910645",314.910645,NA,NA,0.338943724384321
"315.279968",315.279968,NA,NA,0.3370867911336
"315.6492",315.6492,NA,NA,0.335240485043606
"316.018494",316.018494,NA,NA,0.333403984139376
"316.387695",316.387695,NA,NA,0.331578002574356
"316.756866",316.756866,NA,NA,0.329762168671306
"317.126038",317.126038,NA,NA,0.327956274013901
"317.495148",317.495148,NA,NA,0.326160569876383
"317.864258",317.864258,NA,NA,0.324374698004947
"318.233307",318.233307,NA,NA,0.32259889728016
"318.602295",318.602295,NA,NA,0.320833109353375
"318.971313",318.971313,NA,NA,0.319076844314085
"319.340302",319.340302,NA,NA,0.317330330091909
"319.709167",319.709167,NA,NA,0.315593957782722
"320.078094",320.078094,0.291635347224148,0.0436557534705719,0.313866797116278
"320.44696",320.44696,0.288421947364616,0.0429205492356564,0.312149371969569
"320.815796",320.815796,0.29365902795478,0.0462203050241848,0.310441482811727
"321.184601",321.184601,0.286321324502492,0.0439734858247217,0.30874308054011
"321.553375",321.553375,0.289843425199966,0.0454617563882543,0.307054111690608
"321.922089",321.922089,0.290785092164002,0.0459351226385888,0.305374654834896
"322.290833",322.290833,0.286905134425692,0.0448525996000371,0.303704248374519
"322.659485",322.659485,0.28714037408821,0.0461951649902876,0.302043392420269
"323.028107",323.028107,0.286997502892912,0.0452106142916937,0.300391753175354
"323.396759",323.396759,0.290044642102138,0.047727542026784,0.298749012138509
"323.765289",323.765289,0.28796273375505,0.0469343795245502,0.297115793885144
"324.133911",324.133911,0.284970169990017,0.0456368553645784,0.29549109982535
"324.50238",324.50238,0.283743493814817,0.0453338374163821,0.293875958768281
"324.87085",324.87085,0.279568168082537,0.0433730666907917,0.292269641652073
"325.239319",325.239319,0.281494271934838,0.0449450269510076,0.29067210894044
"325.607727",325.607727,0.277522382751678,0.0436489039032876,0.289083570576462
"325.976135",325.976135,0.274561850512958,0.041296626334122,0.287503713658196
"326.344482",326.344482,0.273532213806415,0.040905672477591,0.285932750187853
"326.712799",326.712799,0.273385621436043,0.0394716256881082,0.284370497597498
"327.081116",327.081116,0.273907013869009,0.0418462463938042,0.282816780696581
"327.449371",327.449371,0.271588222094584,0.0408001086715755,0.28127181225007
"327.817596",327.817596,0.270389476136258,0.040458330731751,0.279735408471706
"328.185791",328.185791,0.267507175814562,0.0402733334875936,0.278207521210828
"328.553925",328.553925,0.269088481731171,0.040633231725034,0.276688230178315
"328.922058",328.922058,0.268806509689693,0.0405116965516523,0.275177240086057
"329.290161",329.290161,0.267727999149461,0.0405305649208384,0.273674623613672
"329.658203",329.658203,0.267163506286461,0.0415447077056629,0.272180459207789
"330.026276",330.026276,0.265448892739571,0.0414853322267765,0.270694327575541
"330.394257",330.394257,0.264237334389607,0.0421533886969,0.269216678786607
"330.762207",330.762207,0.265013757781379,0.0435743481195612,0.267747219556134
"331.130188",331.130188,0.263616851185117,0.0420089639900244,0.266285658250949
"331.498047",331.498047,0.264187445629838,0.0424886037755066,0.26483255582459
"331.865936",331.865936,0.263124914729378,0.042191785979757,0.263387265341721
"332.233795",332.233795,0.265646272519029,0.0434010066019336,0.261949979245077
"332.601563",332.601563,0.265244162688467,0.0433225860678878,0.260520888964813
"332.96936",332.96936,0.264739534057259,0.0428159029277802,0.25909948343903
"333.337097",333.337097,0.266212355910429,0.0429765793747019,0.257686063104712
"333.704803",333.704803,0.266260926707297,0.0430509398648638,0.256280471333134
"334.072479",334.072479,0.267846019700645,0.0430977717396187,0.254882660337963
"334.440125",334.440125,0.266723743400943,0.0424158810638722,0.253492586436967
"334.807709",334.807709,0.264397200012732,0.0416288517987783,0.252110326200353
"335.175293",335.175293,0.263367861735312,0.0420167919285602,0.250735603238845
"335.542816",335.542816,0.259102469345354,0.040681438002271,0.249368602722282
"335.9104",335.9104,0.259720150631325,0.0408483425578313,0.248008830002109
"336.277832",336.277832,0.258684037096103,0.0404239340774262,0.246657029623733
"336.645294",336.645294,0.255348413425128,0.0404666343167062,0.245312487917146
"337.012695",337.012695,0.253830099624982,0.0405928061194256,0.243975496761034
"337.380066",337.380066,0.251531319939965,0.0402658115372553,0.242645900694506
"337.747437",337.747437,0.249656706752373,0.0389577049078362,0.241323550542931
"338.114746",338.114746,0.250517363158679,0.0401524572875493,0.240008628164871
"338.482025",338.482025,0.250648204550269,0.0394917477963237,0.23870097704806
"338.849304",338.849304,0.250391140557946,0.0389907800707102,0.237400450472797
"339.216522",339.216522,0.24725466491103,0.0381075721570101,0.236107223858669
"339.583679",339.583679,0.247513294953459,0.0382087858463523,0.234821255099037
"339.950867",339.950867,0.247579282698224,0.0383620662398204,0.23354218273528
"340.317963",340.317963,0.245879616917054,0.0375083681276785,0.232270395344238
"340.685089",340.685089,0.24497332455142,0.0374048114508979,0.231005430567847
"341.052124",341.052124,0.244851361425029,0.0377701105059185,0.229747665890021
"341.419128",341.419128,0.244530489052826,0.0374424302831115,0.228496854779813
"341.786163",341.786163,0.244557818680884,0.037414926515161,0.227252748646767
"342.153107",342.153107,0.241554478534205,0.0365456424678609,0.226015722287803
"342.52005",342.52005,0.241439628130112,0.0367228593853349,0.224785432894967
"342.886932",342.886932,0.239825122570049,0.0364523335532109,0.223562043287894
"343.253754",343.253754,0.240399282795849,0.0365760967780493,0.222345510393191
"343.620575",343.620575,0.240717095874879,0.0365235542715445,0.221135600660638
"343.987396",343.987396,0.23769049864641,0.0357196377944454,0.21993227474243
"344.354126",344.354126,0.236104744657977,0.0360241376986313,0.218735792896754
"344.720886",344.720886,0.235309357161152,0.0361744409001382,0.217545723106506
"345.087555",345.087555,0.233221204508297,0.0348895632135087,0.216362420967982
"345.454224",345.454224,0.231281179563424,0.0348800329001,0.215185555195712
"345.820862",345.820862,0.22968116688853,0.0351657541586081,0.214015189467422
"346.187439",346.187439,0.227263502486473,0.0352930862012594,0.212851382338222
"346.554016",346.554016,0.225511978953278,0.0356178767503946,0.211693903951562
"346.920563",346.920563,0.22269169326835,0.0355722145954572,0.210542813846186
"347.287018",347.287018,0.220439429273821,0.0352317046653641,0.209398269377592
"347.653534",347.653534,0.217343318299515,0.0348392871828088,0.2082597578673
"348.019928",348.019928,0.214202216289688,0.0342564209063032,0.207127812398333
"348.386322",348.386322,0.212526206534617,0.0333014112769955,0.206002019344781
"348.752686",348.752686,0.210765792072731,0.0321579811202092,0.204882436694975
"349.119019",349.119019,0.20976882605354,0.0319960905202655,0.203769032731066
"349.485321",349.485321,0.207729544410581,0.0309823003257934,0.202661772851838
"349.851593",349.851593,0.204824465202005,0.0302508580751332,0.201560619654381
"350.217804",350.217804,0.202375925542604,0.0293045516199448,0.200465631417436
"350.584015",350.584015,0.199475167804711,0.0283039136305233,0.199376591759341
"350.950195",350.950195,0.199602111156728,0.0276109660763865,0.198293559801765
"351.316284",351.316284,0.199144444045499,0.0274115645078435,0.197216677929112
"351.682434",351.682434,0.197622312573582,0.0267429820234045,0.196145466351274
"352.048462",352.048462,0.195843179852454,0.0263418118711978,0.195080427237731
"352.41452",352.41452,0.193837826803811,0.0260501705850213,0.194021084538025
"352.780518",352.780518,0.191285746571864,0.0260783079137846,0.192967666595838
"353.146454",353.146454,0.189307671295746,0.0257629138136187,0.191920145077655
"353.51239",353.51239,0.187679700469411,0.0255265356028972,0.19087831001125
"353.878296",353.878296,0.186213789864435,0.0250167088433614,0.189842215244454
"354.244141",354.244141,0.185233177035688,0.0247935511576778,0.188811915761925
"354.610016",354.610016,0.183876311294122,0.0244983578720449,0.187787124055012
"354.9758",354.9758,0.181398865796429,0.0247372791416641,0.186768147299241
"355.341553",355.341553,0.179507171373464,0.0239689454682266,0.18575478540484
"355.707306",355.707306,0.178060241957171,0.0233189957417366,0.1847469217838
"356.072968",356.072968,0.177001274649667,0.0233950726484804,0.183744775323794
"356.43866",356.43866,0.174829593423159,0.0234587814954447,0.182747983384681
"356.80426",356.80426,0.172414048864884,0.0226095924587132,0.181756847647321
"357.169861",357.169861,0.171185122343097,0.022237492034207,0.180771084656791
"357.535461",357.535461,0.169041809629687,0.0221801667233773,0.179790670651852
"357.90097",357.90097,0.168452346240647,0.0219627045560898,0.178815815981405
"358.266449",358.266449,0.168148013078401,0.0214134068099689,0.177846326497266
"358.631958",358.631958,0.166619404618877,0.0213219433332592,0.17688201438152
"358.997345",358.997345,0.165111846151971,0.021035660976178,0.175923250179893
"359.362762",359.362762,0.163505861824134,0.0208741518060782,0.174969604745627
"359.728119",359.728119,0.161876305972555,0.021079477893979,0.174021284149339
